Name	YPS606_MSN24_ETOH_REP1_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP2_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP3_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP4_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP1_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP2_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP3_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP4_R1.fastq.gz_quant	YPS606_WT_ETOH_REP1_R1.fastq.gz_quant	YPS606_WT_ETOH_REP2_R1.fastq.gz_quant	YPS606_WT_ETOH_REP3_R1.fastq.gz_quant	YPS606_WT_ETOH_REP4_R1.fastq.gz_quant	YPS606_WT_MOCK_REP1_R1.fastq.gz_quant	YPS606_WT_MOCK_REP2_R1.fastq.gz_quant	YPS606_WT_MOCK_REP3_R1.fastq.gz_quant	YPS606_WT_MOCK_REP4_R1.fastq.gz_quant
YER168C	20.1974	34.8608	30.5095	26.09	14.4743	13.9724	14.0515	13.172	21.9723	23.2705	27.7417	23.0573	14.0024	19.6529	16.7846	12.829
YGR154C	5.70332	9.32586	9.69217	9.47221	9.19628	2.95914	2.38071	6.6951	7.44544	3.58424	9.40043	7.10281	0	0	2.18752	4.8302
YHR015W	0	0	1.53319	0	0	0	0	0	0	0	0	0	1.02351	0	0	0
YLL066W-B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJR054W	13.174	8.20636	8.52869	2.08378	6.06925	11.7176	7.85597	2.9457	12.2844	4.73096	2.06799	7.03144	4.2701	9.15633	7.21846	4.78166
YOL142W	9.89942	37.7701	0	21.9216	53.2075	25.6813	20.6614	46.4835	6.46163	6.22126	16.3166	18.4928	33.6914	62.6115	22.7817	54.4955
YBR135W	92.2646	201.157	104.529	114.926	61.9881	47.871	67.3988	63.1802	60.2237	86.9751	50.6913	43.0892	17.445	56.1107	61.9294	0
YOR161C-C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YEL011W	7.53205	12.3161	7.11105	0	4.04834	3.90797	0	2.94728	58.9966	83.6251	70.3495	42.2112	0.949421	0	1.92596	1.06316
YPR133W-A	2199.7	1438.75	1495.26	0	0	1826.09	1469.14	1377.18	1148.65	1658.88	1933.67	1643.68	332.729	428.08	1349.92	1490.36
YIR009W	54.4309	0	30.8331	60.2668	29.2556	0	0	0	35.5286	0	59.8101	0	0	26.4817	0	0
YLR339C	147.539	136.563	263.792	196.324	485.943	676.503	444.933	366.443	204.377	188.32	142.703	148.585	359.473	393.746	403.641	475.442
YGR224W	0	1.60313	0	0	0	0	0	0	0	1.8484	1.61594	5.49442	0	0	2.25622	0
YDL146W	45.8313	54.1245	41.1061	25.3725	10.2639	3.96322	0	1.49447	82.2673	136.812	128	95.129	2.88853	13.0071	4.39467	8.08644
YGL184C	10.1969	2.22315	0	0	0	0	0	0	5.32466	0	2.24093	2.53981	0	1.9844	0	0
YPR170W-B	307.092	2231.76	2237.28	2040.1	660.225	234.652	1281.88	1041.43	1069.06	790.634	1181.33	1657.27	851.602	697.231	1099.33	693.545
YIL039W	79.9049	63.1511	58.8421	57.5067	45.0947	43.5312	36.6898	45.3366	46.9406	40.1728	46.0958	54.7316	25.6838	42.7629	35.2448	40.6033
YDL109C	5.52825	4.51979	1.56577	3.06048	1.48566	1.43415	2.30763	1.0816	1.80422	3.47421	0	0	0	1.3448	2.12037	0
YGL055W	40.1455	45.7522	45.4819	44.4497	425.664	482.861	397.616	407.002	9.52877	41.2844	30.077	31.8159	438.872	461.656	461.937	395.632
YMR155W	18.4744	16.4775	13.3192	7.43824	5.41617	5.22838	5.60851	7.88619	15.3475	14.7766	11.0728	10.458	6.35104	4.90264	0	9.95665
YGL115W	104.199	78.0916	81.159	104.554	28.0024	33.7893	46.2136	28.0313	123.274	130.967	89.45	60.8283	39.4029	50.6947	42.4634	35.8503
YOL127W	2812.07	2409.6	2696.88	2722.56	4217.96	3243.79	3647.06	3275.49	2339.22	2120.69	1997.7	2117.55	4006.26	3805.31	3963.14	3766.2
YGR137W	65.3159	134.018	26.5718	68.4796	53.946	0	15.6365	0	77.1826	0	145.068	57.5266	0	0	14.3678	20.2781
YMR094W	1.97238	0	2.23456	0	4.24046	4.09343	1.64664	3.08715	0	0	0	0	4.47515	5.75761	3.02604	3.34085
YJL052W	5116.97	4489	5519.98	5934.07	3.66884	11.1744	2.81631	11.1442	10087.3	10811.5	11534.1	9921.44	5.4826	3.41895	2.56597	2.8421
YGR255C	66.8918	64.3406	28.976	56.6369	10.5744	10.2078	8.21246	9.23811	74.4826	96.4401	71.3405	75.9553	5.95183	7.65746	18.1105	9.99729
YGR198W	18.0584	16.2116	10.8311	16.4661	12.5607	11.0229	15.9629	10.8071	19.4142	21.3623	18.6757	22.4895	10.4441	19.6387	10.5932	8.09672
YPR175W	2.57276	5.60918	2.91475	1.4243	1.38281	2.66973	0	3.02015	5.03794	4.85053	7.06754	11.2142	1.94579	6.2585	3.94715	5.44724
YPR180W	11.7945	6.42866	6.68117	13.0591	9.509	9.17929	2.46167	2.30759	7.69862	3.70612	6.48006	18.3608	4.46012	5.73827	0	7.49167
YOL025W	13.5096	14.7269	3.06108	13.4622	2.90446	4.20563	3.38355	2.11451	0	18.6782	8.90681	1.68246	6.13042	2.62908	2.07265	3.43242
YDR331W	26.119	25.8841	18.8306	31.5484	15.3147	39.4232	9.91159	22.2989	18.5985	26.86	20.8729	23.6568	16.1623	11.5522	9.10727	22.1204
YDL066W	196.418	135.361	150.909	152.484	50.9653	28.1132	37.6965	37.1039	73.6826	164.585	173.656	137.772	40.9798	46.1331	29.4419	51.6254
YML012W	236.547	277.698	295.477	288.771	149.96	113.291	162.036	161.388	261.294	289.692	259.924	309.699	155.966	135.741	181.456	164.377
YCR001W	0	0	0	0	0	0	0	0	0	0	39.382	0	0	0	0	0
YBR064W	0	0	0	0	40.1722	0	0	0	0	0	0	0	0	0	0	0
YMR036C	1.65457	7.21463	1.8745	0	3.5572	1.71693	2.76264	1.29486	6.4799	2.07962	0	8.24227	0	3.21992	6.34613	4.20381
YMR225C	192.34	0	0	53.2404	51.6895	99.7945	120.431	150.524	0	60.4377	52.8369	119.768	0	46.7886	36.8861	122.171
YJL159W	461.423	522.235	459.995	533.71	301.594	282.579	274.461	280.174	950.714	804.388	720.273	737.646	267.806	344.308	240.445	350.338
YKR088C	58.2239	60.1298	48.6046	44.1086	23.0589	28.6192	25.5833	21.5838	56.0065	73.1813	60.6106	49.6127	41.7173	26.8362	37.6116	41.5245
YLR152C	3.16167	0	0	1.75032	3.39867	0	3.95928	1.23715	4.12742	1.98694	8.68529	9.8437	1.19559	3.07643	2.42533	1.33882
YMR205C	421.953	395.927	529.476	495.776	209.567	208.767	202.145	186.009	576.407	575.105	534.08	546.556	243.046	178.436	215.788	210.342
YLR012C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.6318
YMR245W	0	0	0	0	0	0	0	4.93861	0	10.7626	0	0	0	0	4.84084	0
YGR146C	0	13.2237	0	13.4312	0	18.8818	5.06364	9.49339	15.836	7.62347	33.3236	15.1073	9.17445	11.8036	23.2636	15.4103
YGL186C	17.2841	15.4158	28.4824	20.877	21.9579	22.8271	17.0532	14.7562	14.3587	23.6993	13.8125	11.7411	21.3906	30.5785	22.9014	18.6303
YDR431W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.7624	0
YPR125W	8.39897	16.0226	11.8943	11.6243	22.5714	15.2522	5.25892	16.4325	13.7056	13.1958	18.458	10.4599	9.52826	22.4745	20.9394	14.2263
YHR177W	4.21082	2.29512	2.38527	0	0	0	3.5154	1.64768	2.74852	2.64628	0	0	0	0	1.61507	1.78309
YGL117W	21.3614	27.9435	29.0411	28.3821	4.59255	0	0	3.34348	16.7319	16.1094	0	21.2825	0	0	0	3.61824
YCL001W-B	0	0	0	0	0	0	0	84.8846	0	0	0	0	0	0	0	0
YIL084C	15.9483	13.9083	10.841	7.06329	3.42877	9.92965	5.32579	7.48866	4.16397	12.0272	7.00976	7.94469	7.23707	3.10367	2.4468	0
YNL097C-B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR008W-B	0	0	0	0	0	0	0	0	862.621	0	0	0	0	0	0	0
YBL052C	5.21196	0	2.36191	1.15415	5.60266	8.65344	2.61073	4.07886	0	2.62035	0	3.89453	7.88366	0	3.99812	4.41406
YBR249C	431.348	437.685	421.068	552.688	332.451	323.739	321.609	341.817	336.447	368.258	265.307	320.964	281.091	356.365	370.428	399.776
YGL040C	57.1028	55.6958	57.8834	23.2934	71.0754	84.2044	60.2177	65.8566	39.2343	86.8821	52.8387	48.6574	56.8251	55.5633	57.6365	63.6327
YDR026C	9.6017	3.48896	7.25201	8.85929	10.3215	9.96358	8.01599	8.76663	2.0891	4.02277	1.75843	7.97185	6.0515	3.11428	8.59308	8.13177
YHR072W-A	691.796	1885.33	783.754	765.967	3718.27	2153.61	2021.41	4872.57	2257.77	2608.54	760.162	861.549	3924.06	3365.73	3980.09	3222.39
YJR094W-A	2635.6	2799.42	3843.79	3142.65	3870.82	2524.55	4400.67	4283.88	2293.77	1953.63	3118.84	2440.7	3833.3	2761.82	4769.32	3662.96
YLR227C	3.80067	2.07157	4.30588	2.10408	2.04279	1.97196	0	1.4872	0	4.77704	2.08814	7.09993	1.43723	1.8491	0	0
YGR250C	3.35097	4.87057	2.53094	2.4735	0	0	0.932521	2.62246	2.91637	4.21182	2.45476	1.39108	0.844785	2.17375	3.42739	0
YOR319W	0	19.532	6.76638	0	6.42019	0	19.9445	4.67404	0	7.50678	0	0	13.551	11.6229	9.16303	10.1163
YKR006C	12.8874	32.7802	43.8015	38.051	27.707	31.204	43.0363	36.9807	16.824	26.9969	28.322	16.0497	32.4893	37.6199	36.2486	36.3816
YGR262C	8.73587	23.8076	14.8456	19.345	14.0861	18.1302	14.5863	20.51	5.70215	5.49003	14.3988	10.8795	13.214	17.0007	20.104	29.594
YKL132C	2.24469	0	0	0	4.82592	0	3.74797	1.75669	2.93035	0	2.46652	0	1.69767	0	1.72191	0
YMR122C	0	0	0	0	0	0	15.6365	0	0	0	0	0	0	0	0	0
YGL185C	5.26115	2.86761	2.98025	0	5.65554	0	2.19614	2.05868	3.43411	0	0	3.27607	0	0	2.01793	0
YER089C	20.4473	22.2898	34.7479	38.4872	39.5641	44.5577	39.262	41.6051	29.3623	46.2601	44.9359	12.7323	46.3931	33.8232	47.0556	50.2193
YJL186W	9.29668	23.6469	14.0433	15.4401	48.3023	43.4118	36.2196	33.9525	14.1591	11.6849	25.5385	21.2262	32.8119	49.7532	35.6576	23.6203
YJR130C	7.00962	6.113	3.17655	4.6567	6.02806	1.45476	3.51119	2.19428	1.83015	0	1.54047	1.74593	5.3014	2.72826	6.45253	7.12382
YBR222C	32.1875	29.5476	57.5779	61.8983	29.1371	33.4006	19.8002	22.5382	59.7117	27.6806	39.0913	37.9759	21.781	24.7261	16.8939	12.9126
YCR064C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3155
YIL073C	0.87424	1.90603	0	2.90391	0.939774	1.81438	0	1.36835	0	2.19765	0.960636	4.35504	1.32238	0	0.670632	0.740402
YOR124C	19.6796	15.017	8.91821	20.3369	7.75676	9.52994	8.76241	4.10698	14.5581	16.4901	18.7411	17.156	4.96125	6.383	2.51605	5.55561
YKL045W	5.25328	11.4533	5.95158	0	3.76472	1.81709	2.92381	6.852	9.14391	2.20094	7.69658	4.36156	5.29744	3.40777	6.71636	8.89811
