ORF	SGD	GENENAME	EtOHvsMOCK.WT	EtOHvsMOCK.MSN24dd	EtOH.MSN24ddvsWT	MOCK.MSN24ddvsWT	EtOHvsWT.MSN24ddvsWT	AveExpr	F	P.Value	adj.P.Val
YEL053C	S000000779	MAK10	-1.4	-0.863	0.6	0.059	0.541	5.48	107	1.68e-13	0
YGL179C	S000003147	TOS3	2.43	2.45	-0.889	-0.906	0.0163	2.28	106	1.7e-13	0
YGR028W	S000003260	MSP1	0.972	0.989	-0.0888	-0.107	0.0178	5.57	106	1.71e-13	0
YBR043C	S000000247	QDR3	-1.37	-1.41	0.163	0.204	-0.041	4.14	106	1.72e-13	0
YMR143W	S000004751	RPS16A	-1.19	-0.829	0.285	-0.0753	0.361	9.89	106	1.72e-13	0
YIL014W	S000001276	MNT3	0.925	0.989	0.0578	-0.00684	0.0646	5.97	106	1.73e-13	0
YDR397C	S000002805	NCB2	-1.58	-1.85	-0.485	-0.211	-0.274	3.77	106	1.74e-13	0
YGR208W	S000003440	SER2	-1.18	-0.869	0.321	0.0146	0.307	5.72	106	1.74e-13	0
YOR028C	S000005554	CIN5	4.21	2.81	-1.47	-0.0774	-1.4	3.11	106	1.74e-13	0
YJL151C	S000003687	SNA3	1.52	0.652	-0.945	-0.0824	-0.863	5.72	106	1.77e-13	0
YGL181W	S000003149	GTS1	0.98	1.01	0.133	0.106	0.0268	5.08	106	1.79e-13	0
YOR352W	S000005879	TFB6	1.73	1.42	-0.251	0.0538	-0.305	3.75	106	1.8e-13	0
YDR129C	S000002536	SAC6	1.27	0.38	-0.929	-0.0415	-0.887	8	106	1.82e-13	0
YMR071C	S000004675	TVP18	1.15	0.818	-0.285	0.0452	-0.33	5.85	106	1.83e-13	0
YJL080C	S000003616	SCP160	-0.908	-0.668	0.269	0.0292	0.24	9.02	106	1.84e-13	0
YOL100W	S000005460	PKH2	1.05	1.12	0.0708	-0.00234	0.0732	5.28	106	1.85e-13	0
YLR199C	S000004189	PBA1	0.921	0.929	0.061	0.0536	0.00741	5.59	105	1.88e-13	0
YIL104C	S000001366	SHQ1	-2.12	-1.56	0.451	-0.105	0.556	4.16	105	1.92e-13	0
YLR047C	S000004037	FRE8	1.13	1.13	0.0701	0.0665	0.00362	5.65	105	1.93e-13	0
YJR145C	S000003906	RPS4A	-1.3	-0.982	0.228	-0.0874	0.316	10.9	105	1.94e-13	0
YHR098C	S000001140	SFB3	0.806	0.857	0.0284	-0.0229	0.0512	8.38	105	2.04e-13	0
YDR105C	S000002512	TMS1	0.956	0.807	-0.112	0.0362	-0.149	6.28	105	2.04e-13	0
YLR354C	S000004346	TAL1	0.915	0.822	-0.224	-0.13	-0.0934	9.76	105	2.04e-13	0
YMR032W	S000004635	HOF1	-1.85	-1.49	0.394	0.0294	0.365	4.09	105	2.06e-13	0
YMR252C	S000004865	NA	2.15	1.17	-0.717	0.263	-0.979	3.45	105	2.06e-13	0
YNL232W	S000005176	CSL4	-1.14	-0.904	0.141	-0.0993	0.24	5.64	104	2.07e-13	0
YPR114W	S000006318	NA	-0.958	-0.958	-0.101	-0.101	-1.24e-4	6.92	104	2.11e-13	0
YER141W	S000000943	COX15	1.34	0.673	-0.756	-0.0858	-0.67	7.38	104	2.14e-13	0
YOR274W	S000005800	MOD5	-2.19	-1.85	0.191	-0.147	0.338	3.46	104	2.16e-13	0
YOL107W	S000005467	NA	1.19	1.25	0.0259	-0.0311	0.057	5.37	104	2.17e-13	0
YDR059C	S000002466	UBC5	2.34	1.79	-0.494	0.0625	-0.557	3.5	104	2.18e-13	0
YLR174W	S000004164	IDP2	1.92	1.06	-0.732	0.134	-0.865	3.06	104	2.2e-13	0
YGL021W	S000002989	ALK1	-1.14	-0.935	0.317	0.116	0.202	5.42	104	2.24e-13	0
YCL042W	S000000547	NA	7.19	5.05	-2.16	-0.0168	-2.14	2.53	104	2.26e-13	0
YGL035C	S000003003	MIG1	-2.08	-1.98	0.264	0.167	0.0972	4.53	104	2.26e-13	0
YBR129C	S000000333	OPY1	0.971	1.25	0.324	0.0476	0.276	4.74	104	2.27e-13	0
YOR182C	S000005708	RPS30B	-1.57	-1.26	0.354	0.0455	0.309	7.92	103	2.28e-13	0
YER020W	S000000822	GPA2	1.46	0.987	-0.433	0.0421	-0.475	4.64	103	2.29e-13	0
YKL006W	S000001489	RPL14A	-1.5	-1.29	0.175	-0.0342	0.209	10	103	2.33e-13	0
YHR187W	S000001230	IKI1	-1.49	-1.12	0.355	-0.0163	0.372	4.63	103	2.34e-13	0
YKL138C	S000001621	MRPL31	-1.2	-1.49	-0.356	-0.0635	-0.293	4.7	103	2.35e-13	0
YIL078W	S000001340	THS1	-0.809	-0.766	0.0576	0.0146	0.043	9.55	103	2.4e-13	0
YJR074W	S000003835	MOG1	1.45	1.11	-0.278	0.0697	-0.348	4.66	103	2.41e-13	0
YOL014W	S000005374	NA	-0.707	-1.03	-0.377	-0.0586	-0.318	6.05	103	2.43e-13	0
YER065C	S000000867	ICL1	2.16	1.71	-0.407	0.0386	-0.446	3.11	103	2.44e-13	0
YBR154C	S000000358	RPB5	-1.56	-1.02	0.589	0.0516	0.537	6.4	103	2.46e-13	0
YBL081W	S000000177	NA	-1.11	-1.08	-0.0711	-0.106	0.0353	6.4	103	2.46e-13	0
YBL018C	S000000114	POP8	-2.77	-2.35	0.34	-0.0819	0.422	2.94	103	2.47e-13	0
YIL062C	S000001324	ARC15	1	0.889	-0.117	-0.00271	-0.114	6.18	103	2.52e-13	0
YPR069C	S000006273	SPE3	-0.83	-0.882	-0.215	-0.163	-0.0518	8.56	103	2.52e-13	0
YJR118C	S000003879	ILM1	1.37	1.63	0.283	0.021	0.262	5.84	102	2.57e-13	0
YJL146W	S000003682	IDS2	1.18	1.14	0.0185	0.0598	-0.0412	4.35	102	2.58e-13	0
YKL168C	S000001651	KKQ8	1.95	1.64	-0.431	-0.118	-0.313	4.55	102	2.58e-13	0
YOR044W	S000005570	IRC23	2.28	1.87	-0.349	0.0644	-0.413	2.9	102	2.63e-13	0
YBR203W	S000000407	COS111	-0.701	-2.35	-1.84	-0.185	-1.65	3.8	102	2.66e-13	0
YNL173C	S000005117	MDG1	2.01	0.854	-1.02	0.13	-1.15	4.39	102	2.68e-13	0
YOR002W	S000005528	ALG6	0.963	0.866	-0.134	-0.0369	-0.0971	7.77	102	2.72e-13	0
YOR049C	S000005575	RSB1	-0.8	-2.12	-1.31	0.0059	-1.32	5.58	101	2.81e-13	0
YPR140W	S000006344	TAZ1	1.03	1.05	-0.0994	-0.118	0.0187	5.21	101	2.81e-13	0
YLL019C	S000003942	KNS1	1.18	0.459	-0.779	-0.0562	-0.722	5.43	101	2.91e-13	0
YLL028W	S000003951	TPO1	-1.06	-1.88	-0.734	0.0845	-0.819	6.22	101	3.03e-13	0
YGL250W	S000003219	RMR1	2.04	1.9	-0.203	-0.0682	-0.135	3.3	101	3.05e-13	0
YCL044C	S000000549	MGR1	1.25	1.14	-0.288	-0.175	-0.113	6.23	101	3.1e-13	0
YHR122W	S000001164	CIA2	-1.71	-1.45	0.197	-0.0648	0.261	4.13	100	3.16e-13	0
YKL082C	S000001565	RRP14	-2.66	-2.27	0.767	0.378	0.389	4.86	100	3.16e-13	0
YER054C	S000000856	GIP2	5.19	1.71	-3.02	0.467	-3.49	0.585	100	3.25e-13	0
YDR350C	S000002758	ATP22	1.11	0.809	-0.206	0.0947	-0.301	4.9	100	3.29e-13	0
YLR387C	S000004379	REH1	0.873	1.07	0.291	0.0965	0.194	5.75	99.7	3.37e-13	0
YPL127C	S000006048	HHO1	-1.21	-1.28	0.047	0.112	-0.0646	5.42	99.6	3.41e-13	0
YFR014C	S000001910	CMK1	1.49	0.478	-1.06	-0.0519	-1.01	4.72	99.5	3.46e-13	0
YMR301C	S000004916	ATM1	-1.09	-0.875	0.207	-0.0073	0.214	5.3	99.4	3.5e-13	0
YOR117W	S000005643	RPT5	0.81	0.839	0.0271	-0.00235	0.0294	7.55	99.4	3.51e-13	0
YDR110W	S000002517	FOB1	-1.81	-1.45	0.337	-0.0277	0.365	4.46	99.3	3.54e-13	0
YBL106C	S000000202	SRO77	1.02	0.886	-0.196	-0.0593	-0.136	5.03	99.2	3.55e-13	0
YJR061W	S000003822	NA	2.84	2.09	-0.336	0.408	-0.743	3.11	99	3.63e-13	0
YNR047W	S000005330	FPK1	1.1	0.585	-0.408	0.104	-0.512	6.06	98.9	3.69e-13	0
YBR067C	S000000271	TIP1	3.57	2.65	-1.09	-0.168	-0.919	3.05	98.8	3.73e-13	0
YIL004C	S000001266	BET1	-1.29	-1.56	-0.324	-0.0558	-0.268	3.7	98.7	3.76e-13	0
YBR024W	S000000228	SCO2	1.63	1.19	-0.518	-0.0694	-0.449	3.71	98.6	3.79e-13	0
YGR288W	S000003520	MAL13	2.18	1.77	-0.574	-0.162	-0.413	3.48	98.5	3.85e-13	0
YLR240W	S000004230	VPS34	1.01	0.85	-0.269	-0.108	-0.161	5.5	98.3	3.94e-13	0
YPR024W	S000006228	YME1	0.991	0.66	-0.301	0.0305	-0.331	7.58	98.2	3.99e-13	0
YGL115W	S000003083	SNF4	0.836	0.547	-0.423	-0.133	-0.29	6.98	98	4.04e-13	0
YNL195C	S000005139	NA	4.9	1.61	-4.11	-0.825	-3.29	1	98	4.07e-13	0
YDR391C	S000002799	NA	1.43	0.0222	-2.13	-0.732	-1.4	3.93	97.8	4.14e-13	0
YJL225C	S000003760	NA	-0.692	-0.877	-0.15	0.0357	-0.186	7.36	97.6	4.23e-13	0
YBR243C	S000000447	ALG7	1.14	0.976	-0.187	-0.0242	-0.162	6.96	97.6	4.25e-13	0
YDL089W	S000002247	NUR1	1.39	1.23	-0.191	-0.039	-0.152	4.71	97.5	4.27e-13	0
YDL174C	S000002333	DLD1	1.08	0.493	-0.775	-0.188	-0.587	6.68	97.4	4.31e-13	0
YNL050C	S000004995	NA	-1.78	-1.43	0.491	0.137	0.354	3.75	97.4	4.32e-13	0
YER068W	S000000870	MOT2	0.759	0.988	0.228	-2.1e-4	0.228	6.3	97.4	4.33e-13	0
YDR379C-A	S000007605	SDH6	4.23	3.96	-0.164	0.104	-0.268	1.59	97.2	4.42e-13	0
YBL007C	S000000103	SLA1	1.19	0.542	-0.516	0.128	-0.644	7.86	97.2	4.42e-13	0
YLL029W	S000003952	FRA1	1.07	0.621	-0.437	0.0121	-0.449	6.67	97.2	4.43e-13	0
YGR143W	S000003375	SKN1	0.196	-1.33	-1.61	-0.0913	-1.52	4.42	97.2	4.43e-13	0
YNL026W	S000004971	SAM50	0.745	0.857	0.0538	-0.0582	0.112	5.95	97.1	4.45e-13	0
YFR040W	S000001936	SAP155	0.962	0.738	-0.165	0.059	-0.224	7.08	96.9	4.56e-13	0
YBL058W	S000000154	SHP1	1.06	0.679	-0.27	0.116	-0.386	6.39	96.8	4.61e-13	0
YIL097W	S000001359	FYV10	2.4	2.05	-0.497	-0.147	-0.35	3.12	96.7	4.65e-13	0
YEL041W	S000000767	YEF1	3.41	2.82	-0.405	0.187	-0.592	2.05	96.6	4.7e-13	0
YOL084W	S000005444	PHM7	4.75	4.09	-1.11	-0.445	-0.661	2.21	96.6	4.72e-13	0
YDR307W	S000002715	PMT7	0.949	0.897	-0.0436	0.00878	-0.0524	6.17	96.6	4.73e-13	0
YML016C	S000004478	PPZ1	0.868	0.611	-0.167	0.0903	-0.257	6.67	96.6	4.74e-13	0
YLR370C	S000004362	ARC18	0.893	0.827	-0.0998	-0.0338	-0.0659	5.84	96.5	4.75e-13	0
YBR137W	S000000341	NA	1.38	1.01	-0.478	-0.104	-0.374	4.35	96.4	4.81e-13	0
YHR027C	S000001069	RPN1	0.781	0.776	0.158	0.163	-0.00488	8.5	96.4	4.84e-13	0
YCR061W	S000000657	NA	2.4	1.26	-1.26	-0.111	-1.15	5.01	96.3	4.88e-13	0
YMR127C	S000004734	SAS2	-1.87	-1.45	0.418	-0.0037200000000000002	0.421	3.17	96.2	4.91e-13	0
YER032W	S000000834	FIR1	-1.49	-0.935	0.668	0.112	0.556	5.16	96.2	4.95e-13	0
YDR502C	S000002910	SAM2	-1.39	-0.709	0.672	-0.00708	0.679	7.59	96	5.02e-13	0
YDL150W	S000002309	RPC53	-1.82	-1.38	0.525	0.0864	0.438	5.24	95.9	5.06e-13	0
YGL161C	S000003129	YIP5	0.917	0.82	-0.157	-0.0607	-0.0963	6.04	95.9	5.07e-13	0
YGR251W	S000003483	NOP19	-3.08	-2.07	1.03	0.0114	1.02	2.39	95.9	5.08e-13	0
YMR160W	S000004770	NA	1.52	1.57	0.107	0.0521	0.0552	4.26	95.8	5.16e-13	0
YOR285W	S000005811	RDL1	3.16	1.46	-1.67	0.0334	-1.71	2.52	95.5	5.3e-13	0
YDL055C	S000002213	PSA1	0.716	0.978	0.267	0.00586	0.261	11	95.3	5.41e-13	0
YOR161C	S000005687	PNS1	0.975	-2.84	-4.15	-0.332	-3.81	4.25	95.3	5.42e-13	0
YNL008C	S000004953	ASI3	0.783	0.952	0.138	-0.0315	0.17	5.88	95.2	5.48e-13	0
YHR081W	S000001123	LRP1	-3.77	-3.03	0.89	0.15	0.74	2.61	95.1	5.53e-13	0
YMR216C	S000004829	SKY1	-0.865	-0.925	-0.0554	0.00405	-0.0595	6.04	94.9	5.65e-13	0
YER119C	S000000921	AVT6	1.62	1.26	-0.231	0.135	-0.366	4.84	94.9	5.66e-13	0
YDR123C	S000002530	INO2	-2.05	-1.58	0.378	-0.0933	0.472	3.21	94.8	5.71e-13	0
YOR301W	S000005827	RAX1	-1.53	-1.32	0.32	0.11	0.209	4.22	94.8	5.77e-13	0
YDR099W	S000002506	BMH2	1.05	0.701	-0.326	0.024	-0.35	8.37	94.7	5.82e-13	0
YPL111W	S000006032	CAR1	0.742	1.06	0.0992	-0.219	0.318	8.36	94.7	5.82e-13	0
YKL096W-A	S000001956	CWP2	-1.59	-1.58	0.0832	0.0713	0.0118	8.19	94.7	5.82e-13	0
YGL167C	S000003135	PMR1	0.803	0.727	-0.139	-0.0628	-0.0764	8.69	94.6	5.88e-13	0
YOR336W	S000005863	KRE5	0.677	0.91	0.315	0.0814	0.234	6.36	94.4	5.98e-13	0
YPL010W	S000005931	RET3	0.784	0.805	-0.0298	-0.0509	0.0211	7.22	94.4	5.98e-13	0
YBR151W	S000000355	APD1	0.843	-0.0681	-1.06	-0.152	-0.911	6.37	94.3	6.04e-13	0
YLR190W	S000004180	MMR1	-1.09	-1.24	-0.132	0.0173	-0.149	6.76	94.2	6.12e-13	0
YMR202W	S000004815	ERG2	-1.33	-0.994	0.374	0.041	0.333	8.78	94.1	6.22e-13	0
YCR031C	S000000627	RPS14A	-1.21	-1.07	0.0765	-0.0607	0.137	10.7	94	6.23e-13	0
YDL079C	S000002237	MRK1	3.08	1.79	-0.96	0.336	-1.3	3.38	93.8	6.4e-13	0
YOR195W	S000005721	SLK19	-2.19	-1.57	1.03	0.41	0.619	3.61	93.8	6.42e-13	0
YIL148W	S000001410	RPL40A	-1.07	-0.865	0.143	-0.0588	0.201	10.1	93.6	6.54e-13	0
YDR441C	S000002849	APT2	-1.54	-0.846	0.391	-0.304	0.695	4.97	93.5	6.64e-13	0
YKL068W	S000001551	NUP100	-0.965	-0.657	0.378	0.0697	0.308	6.95	93.4	6.68e-13	0
YDL025C	S000002183	RTK1	1.39	0.649	-0.571	0.167	-0.738	4.98	93.2	6.84e-13	0
YAL028W	S000000026	FRT2	3.82	2.18	-1.56	0.0825	-1.64	1.93	93.2	6.85e-13	0
YLR244C	S000004234	MAP1	-0.917	-0.841	0.0394	-0.0368	0.0762	7.25	93.1	6.9e-13	0
YHR136C	S000001178	SPL2	2.98	3.9	0.682	-0.235	0.917	1.84	93.1	6.93e-13	0
YDR464W	S000002872	SPP41	-1.44	-1.09	0.528	0.178	0.349	5.2	93.1	6.94e-13	0
YBL020W	S000000116	RFT1	-0.966	-1.14	-0.203	-0.028	-0.175	6.66	93	6.98e-13	0
YMR129W	S000004736	POM152	-0.8	-0.572	0.251	0.023	0.228	7.47	93	6.99e-13	0
YIL111W	S000001373	COX5B	3.28	1.47	-2.44	-0.636	-1.81	1.39	92.9	7.06e-13	0
YAL034C	S000002134	FUN19	1.37	0.0536	-1.41	-0.0961	-1.31	4.38	92.8	7.18e-13	0
YBR030W	S000000234	RKM3	-1.08	-1.09	0.0433	0.06	-0.0167	4.65	92.7	7.21e-13	0
YDR506C	S000002914	GMC1	4.22	3.33	-0.105	0.778	-0.883	1.86	92.7	7.28e-13	0
YBR112C	S000000316	CYC8	-0.922	-0.655	0.327	0.0596	0.267	6.85	92.6	7.29e-13	0
YLR028C	S000004018	ADE16	0.841	0.681	-0.093	0.0663	-0.159	7.85	92.6	7.29e-13	0
YGL225W	S000003193	VRG4	-1.26	-0.987	0.232	-0.0457	0.278	8.7	92.5	7.38e-13	0
YGL040C	S000003008	HEM2	-1.06	-1.15	-0.177	-0.0893	-0.0875	6.91	92.4	7.51e-13	0
YLR438W	S000004430	CAR2	1.36	1.75	0.163	-0.235	0.398	7.77	92.3	7.55e-13	0
YHR159W	S000001202	TDA11	1.52	1.18	-0.167	0.167	-0.334	3.78	92.3	7.59e-13	0
YPL236C	S000006157	ENV7	1.54	1.38	-0.126	0.0336	-0.159	3.87	92.2	7.66e-13	0
YBR046C	S000000250	ZTA1	2.03	1.2	-0.869	-0.0461	-0.823	3.38	92	7.81e-13	0
YBR285W	S000000489	NA	5.67	4.81	-2.51	-1.65	-0.86	-0.753	91.9	7.92e-13	0
YER005W	S000000807	YND1	-0.845	-0.904	-0.0342	0.0247	-0.059	5.58	91.9	7.93e-13	0
YMR173W-A	S000004785	NA	4.24	4.04	-3.53	-3.33	-0.199	1.7	91.9	7.96e-13	0
YLL058W	S000003981	NA	1.62	1.44	-0.241	-0.066	-0.175	4.28	91.8	7.98e-13	0
YMR237W	S000004850	BCH1	0.887	0.788	-0.0806	0.0184	-0.099	6.99	91.8	8.04e-13	0
YOR132W	S000005658	VPS17	1.26	1.03	-0.121	0.103	-0.223	6.11	91.8	8.04e-13	0
YNL183C	S000005127	NPR1	0.961	0.885	-0.11	-0.0341	-0.0756	6.05	91.7	8.12e-13	0
YEL044W	S000000770	IES6	-1.78	-1.44	0.383	0.0506	0.332	3.73	91.6	8.17e-13	0
YDR178W	S000002585	SDH4	1.35	0.116	-1.4	-0.175	-1.23	5.98	91.5	8.32e-13	0
YML068W	S000004533	ITT1	1.37	1.13	-0.0924	0.15	-0.243	4.02	91.4	8.38e-13	0
YBL037W	S000000133	APL3	0.861	0.706	-0.11	0.0449	-0.155	6.01	91.2	8.55e-13	0
YMR140W	S000004748	SIP5	1.34	1.02	-0.315	0.00402	-0.319	4.63	91.2	8.59e-13	0
YPL106C	S000006027	SSE1	0.993	0.57	-0.29	0.133	-0.423	10.6	91.2	8.61e-13	0
YFR010W	S000001906	UBP6	0.934	0.772	-0.0422	0.12	-0.162	6.78	91	8.77e-13	0
YCL027W	S000000532	FUS1	4.54	3.64	-0.463	0.435	-0.898	0.455	91	8.79e-13	0
YDR347W	S000002755	MRP1	-0.913	-1.02	-0.344	-0.241	-0.104	6.02	90.9	8.85e-13	0
YBR021W	S000000225	FUR4	-1.25	-0.926	0.357	0.0365	0.32	5.4	90.9	8.94e-13	0
YBR035C	S000000239	PDX3	1.1	0.38	-0.664	0.0603	-0.724	6.09	90.8	8.99e-13	0
YBR045C	S000000249	GIP1	2.76	2.12	-0.516	0.116	-0.633	2.25	90.6	9.18e-13	0
YDR027C	S000002434	VPS54	0.896	0.876	0.094	0.114	-0.0199	5.89	90.6	9.23e-13	0
YFR049W	S000001945	YMR31	1.51	0.909	-0.523	0.0739	-0.597	4.27	90.5	9.3e-13	0
YDL238C	S000002397	GUD1	2.14	2.12	-0.113	-0.0923	-0.0208	2.47	90.3	9.56e-13	0
YLR304C	S000004295	ACO1	-1.22	-1.19	-0.0426	-0.0698	0.0272	9.36	90	9.81e-13	0
YOR369C	S000005896	RPS12	-1.39	-1.24	0.11	-0.0378	0.148	11	90	9.83e-13	0
YMR304C-A	S000004919	NA	-2.12	-0.878	1.16	-0.0796	1.24	5.38	89.8	1.01e-12	0
YMR116C	S000004722	ASC1	-1.42	-1.27	0.0751	-0.0743	0.149	12.1	89.7	1.02e-12	0
YHR154W	S000001197	RTT107	-1.7	-1.21	0.68	0.182	0.499	3.72	89.5	1.04e-12	0
YMR062C	S000004666	ARG7	1.27	1.5	0.248	0.0131	0.235	5.37	89.5	1.05e-12	0
YGR090W	S000003322	UTP22	-0.907	-0.449	0.434	-0.0243	0.458	8.05	89.4	1.05e-12	0
YDR050C	S000002457	TPI1	1.34	1.2	-0.225	-0.0837	-0.142	12.6	89.4	1.06e-12	0
YDL166C	S000002325	FAP7	-2.06	-1.37	0.667	-0.0236	0.69	4.02	89.3	1.07e-12	0
YER098W	S000000900	UBP9	2.13	1.5	-0.464	0.161	-0.625	3.33	89.3	1.07e-12	0
YGL047W	S000003015	ALG13	1.47	1.44	0.0354	0.0631	-0.0278	4.11	89	1.1e-12	0
YLR264W	S000004254	RPS28B	-2.1	-1.72	0.392	0.00397	0.388	7.08	89	1.11e-12	0
YHL036W	S000001028	MUP3	2.05	1.36	-0.713	-0.0219	-0.691	4.09	89	1.11e-12	0
YBL067C	S000000163	UBP13	-0.855	-0.841	0.0579	0.0437	0.0142	6.17	88.9	1.11e-12	0
YDR247W	S000002655	VHS1	2.07	0.903	-1.35	-0.182	-1.17	3.79	88.8	1.14e-12	0
YPL196W	S000006117	OXR1	1.51	0.903	-0.48	0.131	-0.611	4.04	88.8	1.14e-12	0
YLR372W	S000004364	ELO3	-1.32	-0.755	0.493	-0.0728	0.566	9.08	88.7	1.14e-12	0
YJL073W	S000003609	JEM1	1.32	1.18	-0.135	0.00266	-0.138	5.61	88.6	1.16e-12	0
YPL135W	S000006056	ISU1	0.868	0.954	0.0479	-0.0381	0.086	6.58	88.6	1.16e-12	0
YHR198C	S000001241	AIM18	1.41	0.712	-0.701	0.00162	-0.702	4.93	88.6	1.16e-12	0
YPR028W	S000006232	YOP1	1.08	-0.17	-1.33	-0.0772	-1.25	9.26	88.6	1.16e-12	0
YML126C	S000004595	ERG13	-1.07	-0.361	0.68	-0.0273	0.707	9.84	88.6	1.16e-12	0
YKL183W	S000001666	LOT5	-1.54	-0.96	0.517	-0.0658	0.582	4.3	88.4	1.19e-12	0
YFR003C	S000001899	YPI1	1.97	1.31	-0.462	0.207	-0.669	3.7	88.4	1.2e-12	0
YJL165C	S000003701	HAL5	1.42	0.2	-1.02	0.201	-1.22	6.33	88.3	1.2e-12	0
YML028W	S000004490	TSA1	1.13	0.891	-0.273	-0.0357	-0.237	11.4	88	1.25e-12	0
YGL117W	S000003085	NA	2.92	3.19	0.0553	-0.214	0.269	3.19	87.8	1.27e-12	0
YER174C	S000000976	GRX4	-1.03	-0.844	0.0315	-0.153	0.185	5.01	87.8	1.28e-12	0
YDR452W	S000002860	PPN1	0.86	0.755	-0.00579	0.0992	-0.105	7.42	87.6	1.31e-12	0
YLR283W	S000004273	NA	1.33	1.09	-0.184	0.0653	-0.249	4.14	87.6	1.31e-12	0
YDL037C	S000002195	BSC1	-6.27	-5.41	-0.322	-1.18	0.861	1.83	87.4	1.33e-12	0
YBR062C	S000000266	NA	1.31	1.27	0.0971	0.131	-0.0343	3.85	87.2	1.37e-12	0
YMR012W	S000004614	CLU1	-0.86	-0.778	0.072	-0.00976	0.0818	8.98	87	1.4e-12	0
YDR097C	S000002504	MSH6	-1.13	-1.12	0.0562	0.0439	0.0123	5.37	86.9	1.41e-12	0
YLR134W	S000004124	PDC5	1.61	1.39	-0.229	-0.00218	-0.227	5.05	86.7	1.45e-12	0
YNL251C	S000005195	NRD1	1.12	0.454	-0.749	-0.0867	-0.662	7.83	86.6	1.47e-12	0
YBR026C	S000000230	ETR1	1.89	1.26	-0.719	-0.0922	-0.627	3.43	86.6	1.48e-12	0
YML117W	S000004585	NAB6	1.17	0.843	-0.222	0.106	-0.328	6.65	86.6	1.48e-12	0
YKR089C	S000001797	TGL4	1.08	0.637	-0.447	-0.00506	-0.442	5.72	86.5	1.49e-12	0
YOR228C	S000005754	MCP1	1.82	1.13	-1.03	-0.335	-0.693	4.13	86.5	1.5e-12	0
YBR233W	S000000437	PBP2	1.24	1.13	-0.0633	0.05	-0.113	4.55	86.2	1.54e-12	0
YOL052C-A	S000005413	DDR2	7.55	-0.673	-7.1	1.12	-8.22	-2.46	86.2	1.54e-12	0
YOR291W	S000005817	YPK9	0.941	0.609	-0.402	-0.0701	-0.332	7.19	86.2	1.54e-12	0
YOR046C	S000005572	DBP5	-1.04	-0.504	0.519	-0.0185	0.538	7.12	86.1	1.56e-12	0
YPL015C	S000005936	HST2	0.887	-0.537	-1.64	-0.217	-1.42	6.14	86	1.59e-12	0
YCR073W-A	S000000718	SOL2	1.28	0.362	-1.08	-0.154	-0.921	5.22	85.9	1.6e-12	0
YGL209W	S000003177	MIG2	-6.22	-6.01	0.271	0.0583	0.213	1.66	85.9	1.6e-12	0
YKR051W	S000001759	NA	0.926	0.929	0.0745	0.0716	0.00291	4.9	85.9	1.6e-12	0
YDL084W	S000002242	SUB2	-0.801	-0.518	0.246	-0.0371	0.283	9.19	85.8	1.61e-12	0
YPR185W	S000006389	ATG13	1.49	1.25	0.101	0.342	-0.242	4.75	85.5	1.67e-12	0
YPL115C	S000006036	BEM3	0.811	0.802	0.0399	0.0488	-0.00893	6.3	85.5	1.68e-12	0
YJL161W	S000003697	FMP33	4.69	3.03	-3.27	-1.6	-1.66	0.0331	85.5	1.69e-12	0
YOR327C	S000005854	SNC2	-1.23	-1.32	-0.103	-0.0172	-0.0862	4.99	85.4	1.69e-12	0
YDR121W	S000002528	DPB4	-1.74	-1.4	0.325	-0.0172	0.342	3.46	85.3	1.73e-12	0
YBR280C	S000000484	SAF1	1.78	1.15	-0.5	0.126	-0.626	3.45	85.3	1.73e-12	0
YOL073C	S000005434	DSC2	1.34	1.01	-0.329	-0.00235	-0.327	5.15	85.1	1.77e-12	0
YER089C	S000000891	PTC2	-0.962	-0.941	-0.00481	-0.0255	0.0207	6.72	85.1	1.77e-12	0
YPR029C	S000006233	APL4	0.702	0.895	0.192	3.87e-5	0.192	7.15	85	1.79e-12	0
YKR049C	S000001757	FMP46	2.27	0.113	-2.63	-0.467	-2.16	2.1	84.9	1.8e-12	0
YHR092C	S000001134	HXT4	1.39	-1.71	-4.24	-1.14	-3.09	3.49	84.9	1.81e-12	0
YNL092W	S000005036	NA	4.43	3.75	-0.48	0.204	-0.684	1.98	84.8	1.82e-12	0
YLR068W	S000004058	FYV7	-3.71	-3.14	0.802	0.238	0.563	2.58	84.8	1.83e-12	0
YOL009C	S000005369	MDM12	1.29	1.04	-0.227	0.026	-0.253	4.08	84.8	1.83e-12	0
YBR297W	S000000501	MAL33	2.93	2.69	-0.671	-0.433	-0.238	1.9	84.8	1.83e-12	0
YNR061C	S000005344	NA	1.25	0.93	-0.381	-0.0639	-0.317	5.53	84.6	1.86e-12	0
YPR120C	S000006324	CLB5	-1.63	-1.37	0.314	0.0515	0.263	3.91	84.6	1.87e-12	0
YLR084C	S000004074	RAX2	-0.791	-0.893	-0.0885	0.013	-0.101	5.94	84.4	1.91e-12	0
YDL130W	S000002288	RPP1B	-1.27	-1.15	0.12	0.00383	0.116	9.67	84.4	1.92e-12	0
YKL100C	S000001583	YPF1	1.17	0.3	-0.868	0.00725	-0.875	7.29	84.4	1.92e-12	0
YPR117W	S000006321	NA	1.05	0.605	-0.479	-0.0294	-0.45	6.03	84.4	1.92e-12	0
YDL036C	S000002194	PUS9	-1.51	-1.21	0.439	0.135	0.304	4.17	84.2	1.96e-12	0
