ORF	SGD	GENENAME	logFC	logCPM	F	PValue	FDR
YLR221C	S000004211	RSA3	0.27	5.22	2.16	0.155	0.298
YMR308C	S000004925	PSE1	0.27	8.83	6.38	0.0182	0.0612
YDR356W	S000002764	SPC110	0.27	4.14	1.01	0.328	0.507
YBL076C	S000000172	ILS1	0.27	10	7.05	0.0136	0.0487
YJR006W	S000003766	POL31	0.27	5.42	4.58	0.0423	0.117
YNL209W	S000005153	SSB2	0.27	12.1	3.56	0.0707	0.171
YNR046W	S000005329	TRM112	0.27	5.45	4.24	0.05	0.133
YOR223W	S000005749	DSC3	0.27	3.52	2.29	0.142	0.281
YBR087W	S000000291	RFC5	0.27	5.45	5.62	0.0258	0.0804
YBR223C	S000000427	TDP1	0.27	3.4	1.97	0.172	0.321
YJL134W	S000003670	LCB3	0.27	6.66	4.08	0.0542	0.141
YGL253W	S000003222	HXK2	0.27	10.9	4.77	0.0386	0.108
YHR121W	S000001163	LSM12	0.27	5.45	3.64	0.068	0.167
YGL176C	S000003144	NA	0.27	4.5	3.68	0.0665	0.164
YJR094W-A	S000003855	RPL43B	0.27	8.34	0.594	0.455	0.622
YJL183W	S000003719	MNN11	0.27	7.32	7.83	0.00974	0.0375
YGL189C	S000003157	RPS26A	0.27	10.4	3.71	0.0653	0.162
YER072W	S000000874	VTC1	0.27	6.94	3.13	0.0907	0.204
YLR166C	S000004156	SEC10	0.27	5.77	4.56	0.0427	0.118
YPR121W	S000006325	THI22	0.27	2.53	1.16	0.292	0.464
YLR321C	S000004313	SFH1	0.27	5	4.34	0.0475	0.128
YOR265W	S000005791	RBL2	0.27	4.21	2.98	0.0968	0.212
YHR122W	S000001164	CIA2	0.27	4.33	2.26	0.145	0.284
YDR254W	S000002662	CHL4	0.27	3.52	1.81	0.191	0.345
YER043C	S000000845	SAH1	0.27	10.4	3.76	0.0639	0.159
YKL130C	S000001613	SHE2	0.27	4.53	3.34	0.0795	0.185
YBR081C	S000000285	SPT7	0.27	5.66	4.76	0.0387	0.109
YJL189W	S000003725	RPL39	0.27	8.57	1.21	0.289	0.462
YJL162C	S000003698	JJJ2	0.27	3.13	1.32	0.262	0.431
YDL164C	S000002323	CDC9	0.27	5.61	4.4	0.0461	0.125
YKL155C	S000001638	RSM22	0.27	5.2	3.01	0.0953	0.21
YDR539W	S000002947	FDC1	0.27	4.15	3.12	0.0893	0.202
YBR228W	S000000432	SLX1	0.27	3.04	1.2	0.283	0.455
YGL025C	S000002993	PGD1	0.27	3.95	2.77	0.109	0.231
YOR260W	S000005786	GCD1	0.27	7.85	6.59	0.0166	0.0569
YBR112C	S000000316	CYC8	0.27	6.91	6.93	0.0143	0.0506
YDR372C	S000002780	VPS74	0.26	6.93	5.86	0.023	0.0739
YAR071W	S000000094	PHO11	0.26	3.77	1.17	0.289	0.462
YLR185W	S000004175	RPL37A	0.26	8.89	3.11	0.091	0.204
YOR308C	S000005835	SNU66	0.26	3.68	1.7	0.205	0.362
YLR439W	S000004431	MRPL4	0.26	5.78	3.8	0.0626	0.157
YNL138W-A	S000028509	YSF3	0.26	2.42	0.822	0.373	0.552
YGR074W	S000003306	SMD1	0.26	4.59	3.92	0.0588	0.15
YIR017C	S000001456	MET28	0.26	1.67	0.275	0.604	0.745
YEL037C	S000000763	RAD23	0.26	7.3	7.74	0.0101	0.0386
YMR005W	S000004607	TAF4	0.26	5.51	4.53	0.0433	0.119
YJR111C	S000003872	PXP2	0.26	4.25	3.04	0.0934	0.208
YIL022W	S000001284	TIM44	0.26	6.73	3.93	0.0586	0.15
YKL048C	S000001531	ELM1	0.26	4	2.57	0.122	0.251
YGL117W	S000003085	NA	0.26	3.94	0.852	0.365	0.544
YDR160W	S000002567	SSY1	0.26	4.59	3.94	0.0582	0.149
YCL018W	S000000523	LEU2	0.26	9.79	3.8	0.0625	0.157
YPL161C	S000006082	BEM4	0.26	4.45	2.83	0.105	0.226
YBR259W	S000000463	NA	0.26	3.24	1.15	0.294	0.467
YOL094C	S000005454	RFC4	0.26	4.99	4	0.0566	0.146
YMR058W	S000004662	FET3	0.26	8.67	2.8	0.108	0.23
YML097C	S000004563	VPS9	0.26	5.23	3.54	0.0715	0.172
YLR055C	S000004045	SPT8	0.26	4.88	3.96	0.0575	0.148
YJR082C	S000003842	EAF6	0.26	3.78	2.09	0.16	0.305
YOR324C	S000005851	FRT1	0.26	3.93	1.7	0.204	0.361
YAR018C	S000000071	KIN3	0.26	4.18	3.12	0.0895	0.202
YOR004W	S000005530	UTP23	0.26	5.3	1.15	0.293	0.466
YGL244W	S000003213	RTF1	0.26	5.54	3.83	0.0616	0.155
YLR418C	S000004410	CDC73	0.26	5.59	4.1	0.0537	0.14
YKL022C	S000001505	CDC16	0.26	4.57	3.26	0.0831	0.192
YDR412W	S000002820	RRP17	0.26	4.92	1.63	0.215	0.374
YNL206C	S000005150	RTT106	0.26	4.91	4.4	0.0462	0.125
YDR303C	S000002711	RSC3	0.26	6.79	2.9	0.103	0.222
YDL055C	S000002213	PSA1	0.26	11.1	5.46	0.0277	0.0848
YOL062C	S000005423	APM4	0.26	6.22	5.3	0.03	0.0898
YLR384C	S000004376	IKI3	0.26	7.44	6.97	0.014	0.0498
YEL009C	S000000735	GCN4	0.26	10.1	5.56	0.0265	0.082
YBR060C	S000000264	ORC2	0.26	5.65	5.17	0.0318	0.0939
YGR027C	S000003259	RPS25A	0.26	9.84	2.98	0.0972	0.213
YER151C	S000000953	UBP3	0.26	6.23	3.04	0.0943	0.209
YDR524C	S000002932	AGE1	0.26	5.56	4.71	0.0397	0.111
YJL176C	S000003712	SWI3	0.26	5.48	3.26	0.0829	0.191
YGL246C	S000003215	RAI1	0.26	5.1	4.85	0.0371	0.106
YLR455W	S000004447	PDP3	0.26	4.68	1.78	0.195	0.35
YNL044W	S000004989	YIP3	0.26	7.36	4.5	0.044	0.12
YPL110C	S000006031	GDE1	0.26	4.81	4.15	0.0522	0.137
YDR333C	S000002741	RQC1	0.26	6.04	7.12	0.0132	0.0478
YJR022W	S000003783	LSM8	0.26	1.56	0.403	0.531	0.688
YPR124W	S000006328	CTR1	0.26	7.26	0.579	0.461	0.627
YDR419W	S000002827	RAD30	0.26	4.57	3.8	0.0625	0.157
YOL066C	S000005427	RIB2	0.25	5.11	3.58	0.0702	0.17
YJR144W	S000003905	MGM101	0.25	5.67	4.39	0.0465	0.125
YLR165C	S000004155	PUS5	0.25	2.6	0.986	0.33	0.509
YOR278W	S000005804	HEM4	0.25	3.67	2.2	0.15	0.291
YBR165W	S000000369	UBS1	0.25	4.39	2.6	0.119	0.247
YBR135W	S000000339	CKS1	0.25	5.19	2.61	0.119	0.246
YNL163C	S000005107	RIA1	0.25	6.38	4.29	0.0487	0.13
YER016W	S000000818	BIM1	0.25	4.48	2.06	0.163	0.309
YDR514C	S000002922	NA	0.25	3.63	1.61	0.216	0.376
YGR154C	S000003386	GTO1	0.25	3.82	1.54	0.226	0.389
YMR062C	S000004666	ARG7	0.25	5.56	2.59	0.12	0.249
YLL003W	S000003926	SFI1	0.25	4.46	2.6	0.12	0.247
YBR198C	S000000402	TAF5	0.25	6.02	4.4	0.0462	0.125
YJR118C	S000003879	ILM1	0.25	6.05	2.27	0.146	0.286
YPL069C	S000005990	BTS1	0.25	4.58	2.72	0.112	0.236
YGR099W	S000003331	TEL2	0.25	4.49	2.2	0.151	0.292
YDR058C	S000002465	TGL2	0.25	3.83	1.67	0.208	0.366
YER146W	S000000948	LSM5	0.25	4.56	2.31	0.141	0.279
YPR120C	S000006324	CLB5	0.25	4.1	1.93	0.176	0.326
YGR002C	S000003234	SWC4	0.25	4.73	3.92	0.0589	0.15
YIL003W	S000001265	CFD1	0.25	3.86	2.23	0.148	0.289
YBR061C	S000000265	TRM7	0.25	5.43	4.43	0.0455	0.123
YER115C	S000000917	SPR6	0.25	2.8	0.951	0.339	0.517
YDL165W	S000002324	CDC36	0.25	5.22	3.28	0.0823	0.19
YPR105C	S000006309	COG4	0.25	5.75	3.57	0.0705	0.171
YML121W	S000004590	GTR1	0.25	4.87	3.67	0.0668	0.164
YNR016C	S000005299	ACC1	0.25	10.5	3.35	0.0789	0.185
YML077W	S000004542	BET5	0.25	3.91	2.83	0.105	0.226
YOL088C	S000005448	MPD2	0.25	5.38	3.45	0.0751	0.178
YKR027W	S000001735	BCH2	0.25	5.23	4.36	0.047	0.126
YLR359W	S000004351	ADE13	0.25	8.11	4.99	0.0346	0.1
YLR076C	S000004066	NA	0.25	1.79	0.0672	0.8	0.881
YOR080W	S000005606	DIA2	0.25	4.05	2.1	0.159	0.304
YLR103C	S000004093	CDC45	0.25	4.16	1.15	0.295	0.467
YDR130C	S000002537	FIN1	0.25	2.84	1.08	0.308	0.483
YLR277C	S000004267	YSH1	0.25	5.65	5.07	0.0333	0.0973
YDR369C	S000002777	XRS2	0.25	3.6	1.31	0.264	0.433
YLR071C	S000004061	RGR1	0.25	6.49	5.06	0.0336	0.0979
YIL027C	S000001289	EMC5	0.25	4.72	2.81	0.106	0.227
YBR125C	S000000329	PTC4	0.25	6.12	5.5	0.0272	0.0838
YNL047C	S000004992	SLM2	0.25	4.13	2.7	0.113	0.237
YGL241W	S000003210	KAP114	0.25	6.26	5.12	0.0326	0.0959
YGL135W	S000003103	RPL1B	0.25	11.9	3.43	0.0757	0.179
YJR122W	S000003883	IBA57	0.25	5.15	3.21	0.0853	0.196
YLR172C	S000004162	DPH5	0.25	6.9	6.61	0.0165	0.0567
YLL004W	S000003927	ORC3	0.25	4.32	2.33	0.14	0.278
YBR110W	S000000314	ALG1	0.25	6.03	5.81	0.0236	0.0753
YML022W	S000004484	APT1	0.25	7.6	1.37	0.258	0.426
YLR314C	S000004306	CDC3	0.25	6.37	2.62	0.119	0.246
YDR478W	S000002886	SNM1	0.25	2.75	0.733	0.4	0.577
YEL018W	S000000744	EAF5	0.25	3.06	0.891	0.354	0.532
YBR236C	S000000440	ABD1	0.25	5.06	3.02	0.0945	0.209
YDR363W-A	S000007235	SEM1	0.25	4.28	1.41	0.247	0.414
YER167W	S000000969	BCK2	0.25	6.21	4.86	0.037	0.105
YOR304W	S000005831	ISW2	0.24	5.54	3.01	0.0951	0.21
YKL217W	S000001700	JEN1	0.24	0.724	0.254	0.619	0.754
YKL154W	S000001637	SRP102	0.24	5.48	3.4	0.077	0.182
YOR201C	S000005727	MRM1	0.24	4.97	4.67	0.0405	0.113
YKL214C	S000001697	YRA2	0.24	5.14	5.46	0.0278	0.0849
YOL142W	S000005502	RRP40	0.24	5.11	4.26	0.0496	0.132
YER184C	S000000986	TOG1	0.24	3.13	1.22	0.28	0.452
YDR117C	S000002524	TMA64	0.24	5.5	4.02	0.0558	0.144
YKR082W	S000001790	NUP133	0.24	6.71	4.9	0.0361	0.104
YIL140W	S000001402	AXL2	0.24	5.28	3.75	0.0642	0.159
YNR024W	S000005307	MPP6	0.24	3.18	0.598	0.448	0.617
YCL059C	S000000564	KRR1	0.24	5.93	2.63	0.118	0.244
YLR287C-A	S000004278	RPS30A	0.24	8.2	3.88	0.06	0.152
YIL026C	S000001288	IRR1	0.24	5.46	2.72	0.111	0.235
YGL148W	S000003116	ARO2	0.24	8.15	5.38	0.0287	0.0868
YCL061C	S000000566	MRC1	0.24	4.49	2.42	0.133	0.267
YDL064W	S000002222	UBC9	0.24	5.54	4.9	0.0361	0.104
YNL119W	S000005063	NCS2	0.24	5.27	1.58	0.221	0.382
YOR253W	S000005779	NAT5	0.24	5.12	3.59	0.0699	0.169
YGL194C	S000003162	HOS2	0.24	4.5	3.12	0.0897	0.202
YJL147C	S000003683	MRX5	0.24	2.46	0.848	0.366	0.544
YOR350C	S000005877	MNE1	0.24	4.18	2.34	0.139	0.277
YHR111W	S000001153	UBA4	0.24	4.74	3.87	0.0604	0.153
YBR106W	S000000310	PHO88	0.24	8.75	5.26	0.0305	0.0911
YBL061C	S000000157	SKT5	0.24	5.94	5.11	0.0327	0.0959
YBR172C	S000000376	SMY2	0.24	6.38	3.59	0.0696	0.169
YLR261C	S000004251	VPS63	0.24	0.102	0.108	0.746	0.846
YLR027C	S000004017	AAT2	0.24	8.75	4.77	0.0386	0.108
YER039C	S000000841	HVG1	0.24	3.19	0.87	0.36	0.538
YER031C	S000000833	YPT31	0.24	6.4	5	0.0345	0.0999
YHR099W	S000001141	TRA1	0.24	7.72	5.25	0.0306	0.0912
YKL196C	S000001679	YKT6	0.24	6.52	5.7	0.0248	0.0783
YDR319C	S000002727	YFT2	0.24	4.74	1.97	0.173	0.322
YMR002W	S000004604	MIX17	0.24	7.3	5.44	0.028	0.0853
YMR113W	S000004719	FOL3	0.24	4.48	2.58	0.121	0.25
YOR232W	S000005758	MGE1	0.24	6.96	5.59	0.0261	0.0812
