ORF	SGD	GENENAME	logFC	logCPM	F	PValue	FDR
YAL065C	S000001817	NA	6.93	-0.514	20.3	1.76e-4	0.00141
YBL111C	S000002151	NA	6	-0.908	2.9	0.115	0.24
YOR315W	S000005842	SFG1	4.11	5.03	399	6.46e-17	2.13e-14
YPL061W	S000005982	ALD6	3.97	9.61	81	8.57e-7	1.61e-5
YFL051C	S000001843	NA	2.96	5.76	145	5.15e-10	2.63e-8
YNL333W	S000005277	SNZ2	2.89	-0.521	4.4	0.0484	0.129
YPR201W	S000006405	ARR3	2.69	-0.952	3.81	0.0622	0.156
YLR054C	S000004044	OSW2	2.33	-0.584	5.16	0.032	0.0944
YNR076W	S000005359	PAU6	2.27	-1.01	1.24	0.281	0.453
YMR319C	S000004938	FET4	2.16	3.42	28.4	4.58e-5	4.62e-4
YBR296C	S000000500	PHO89	2.13	0.822	13	0.00134	0.00752
YDL039C	S000002197	PRM7	2.09	5.93	112	1.33e-9	6.18e-8
YIL119C	S000001381	RPI1	2.05	1.31	20.1	1.41e-4	0.00115
YER091C	S000000893	MET6	1.96	7.7	57.3	2.3e-6	3.73e-5
YER073W	S000000875	ALD5	1.92	6.37	137	7.3e-11	5.54e-9
YNL019C	S000004964	NA	1.85	-0.462	4.75	0.0389	0.109
YJR147W	S000003908	HMS2	1.72	4.55	58.7	5.36e-8	1.52e-6
YPL274W	S000006195	SAM3	1.71	6.88	68.7	1.9e-7	4.51e-6
YAL067C	S000000062	SEO1	1.71	-0.44	4.5	0.0439	0.12
YFR032C	S000001928	RRT5	1.69	-0.279	3.45	0.075	0.178
YLL062C	S000003985	MHT1	1.68	2.56	22.3	9e-5	8.13e-4
YJL089W	S000003625	SIP4	1.67	2.91	14.1	9.75e-4	0.00577
YLR267W	S000004257	BOP2	1.55	5.85	21	1.1e-4	9.56e-4
YBR083W	S000000287	TEC1	1.54	3.53	33.6	6.25e-6	8.54e-5
YLR121C	S000004111	YPS3	1.5	2.09	24.2	4.52e-5	4.59e-4
YMR016C	S000004618	SOK2	1.47	5.97	126	2.8e-11	2.21e-9
YGL009C	S000002977	LEU1	1.47	9.47	45	3.39e-6	5.09e-5
YPR002W	S000006206	PDH1	1.46	4.49	15.7	9.8e-4	0.00579
YEL046C	S000000772	GLY1	1.46	8.32	69.8	5.4e-8	1.52e-6
YOL058W	S000005419	ARG1	1.45	3.9	58.5	5.2100000000000003e-08	1.49e-6
YBL039C	S000000135	URA7	1.45	8.3	99.6	3.23e-10	1.79e-8
YBR141C	S000000345	BMT2	1.44	2.87	20.4	1.29e-4	0.00108
YAL063C	S000000059	FLO9	1.43	3.34	38.1	1.84e-6	3.1e-5
YKL120W	S000001603	OAC1	1.42	7.99	46.3	2.81e-6	4.39e-5
YOL124C	S000005484	TRM11	1.41	5.72	27.4	2.44e-5	2.75e-4
YML047W-A	S000004512	NA	1.41	-0.327	1.77	0.195	0.35
YDR317W	S000002725	HIM1	1.41	-0.529	3.7	0.0659	0.163
YPR193C	S000006397	HPA2	1.4	0.0152	3.84	0.0614	0.155
YJL152W	S000003688	NA	1.4	-0.722	1.2	0.285	0.457
YNL162W-A	S000007624	NA	1.39	1.11	5.78	0.0239	0.0763
YBR184W	S000000388	NA	1.39	1.2	11.3	0.00248	0.0125
YKL044W	S000001527	MMO1	1.39	-0.542	3.6	0.0694	0.169
YAR035W	S000000080	YAT1	1.38	0.58	4.67	0.0405	0.113
YER001W	S000000803	MNN1	1.38	6.36	27	1.14e-4	9.83e-4
YNL114C	S000005058	NA	1.37	0.265	2.28	0.144	0.283
YLR348C	S000004340	DIC1	1.37	6.09	12.9	0.00344	0.0162
YPL256C	S000006177	CLN2	1.37	5.17	66.9	1.67e-8	5.53e-7
YBL029W	S000000125	NA	1.36	2.66	17.8	2.81e-4	0.0021
YPL054W	S000005975	LEE1	1.36	-0.638	0.991	0.33	0.509
YLR180W	S000004170	SAM1	1.35	9.22	31.8	3.47e-5	3.73e-4
YGR108W	S000003340	CLB1	1.35	4.88	83.8	1.79e-9	7.99e-8
YBR292C	S000000496	NA	1.34	-0.0445	4.33	0.0479	0.128
YLL061W	S000003984	MMP1	1.33	3.72	28.8	1.55e-5	1.86e-4
YOR108W	S000005634	LEU9	1.32	8.04	70.7	2.58e-8	8.01e-7
YPR054W	S000006258	SMK1	1.3	0.134	3	0.0958	0.211
YJR154W	S000003915	NA	1.29	-0.46	2.73	0.111	0.235
YGR064W	S000003296	NA	1.29	-0.504	1.63	0.214	0.373
Q0085	S000007268	ATP6	1.29	0.0142	0.698	0.418	0.591
YJL050W	S000003586	MTR4	1.28	7.03	89.6	9.38e-10	4.46e-8
YLR346C	S000004338	CIS1	1.27	-0.0591	3.16	0.0877	0.2
YPL278C	S000006199	NA	1.27	-0.687	1.19	0.285	0.458
YGR109C	S000003341	CLB6	1.26	3.41	28.6	1.51e-5	1.82e-4
YMR305C	S000004921	SCW10	1.26	8.59	115	7.49e-11	5.61e-9
YMR304C-A	S000004919	NA	1.26	5.61	40	3.68e-6	5.47e-5
YNL300W	S000005244	TOS6	1.25	5.64	39.2	2.14e-6	3.5e-5
YMR241W	S000004854	YHM2	1.24	7.81	169	1.18e-12	1.3e-10
YBR174C	S000000378	NA	1.24	-0.224	2.02	0.167	0.314
YPR202W	S000006406	NA	1.23	1.65	7.88	0.00953	0.0369
YGR213C	S000003445	RTA1	1.22	1.62	9.4	0.00514	0.0225
YLR031W	S000004021	NA	1.21	0.0287	1.35	0.255	0.423
YGL125W	S000003093	MET13	1.21	4.74	36.8	2.76e-6	4.33e-5
YOR376W-A	S000028586	NA	1.18	-0.171	1.71	0.203	0.36
YBL068W-A	S000028530	NA	1.18	-0.249	0.713	0.41	0.586
YOR119C	S000005645	RIO1	1.18	4.92	55.2	8.71e-8	2.32e-6
YGL171W	S000003139	ROK1	1.17	5.52	11.3	0.00386	0.0178
YPR078C	S000006282	NA	1.17	-0.606	1.1	0.305	0.479
YBL043W	S000000139	ECM13	1.17	-0.00237	2.84	0.105	0.226
YLR303W	S000004294	MET17	1.16	6.83	48.7	7.29e-7	1.43e-5
YOR313C	S000005840	SPS4	1.15	1.33	4.32	0.0481	0.129
YDR344C	S000002752	NA	1.15	0.00468	2.51	0.126	0.258
YFR034C	S000001930	PHO4	1.14	4.03	21.8	9.69e-5	8.62e-4
YDR467C	S000002875	NA	1.14	-0.762	1.41	0.246	0.413
YOL080C	S000005440	REX4	1.14	4.57	33.6	4.82e-6	6.84e-5
YBR104W	S000000308	YMC2	1.14	5.19	67	1.51e-8	5.07e-7
YGR035C	S000003267	NA	1.14	3.17	7.15	0.013	0.0474
YHR048W	S000001090	YHK8	1.13	1.13	7.35	0.0119	0.0442
YOR309C	S000005836	NA	1.13	5.12	45.1	4.78e-7	9.97e-6
YPL018W	S000005939	CTF19	1.13	2.74	22	8.37e-5	7.67e-4
YLL054C	S000003977	NA	1.13	4.32	37.8	1.97e-6	3.28e-5
YGR153W	S000003385	NA	1.12	0.0637	3.36	0.0788	0.184
YGR151C	S000003383	NA	1.11	0.175	2.93	0.0995	0.217
YOR346W	S000005873	REV1	1.11	2.56	24.5	4.19e-5	4.32e-4
YIL120W	S000001382	QDR1	1.11	1.07	6.5	0.0172	0.0587
YDR380W	S000002788	ARO10	1.11	8.04	20.1	2.4e-4	0.00183
YJL033W	S000003570	HCA4	1.11	6.48	12.3	0.00223	0.0114
YOR287C	S000005813	RRP36	1.1	3.04	5.84	0.0249	0.0786
YML027W	S000004489	YOX1	1.09	4.79	29.6	1.82e-5	2.13e-4
YMR189W	S000004801	GCV2	1.09	6.08	50.6	2.66e-7	6.06e-6
YPR035W	S000006239	GLN1	1.09	8.61	37.8	5.45e-6	7.63e-5
YJL212C	S000003748	OPT1	1.09	6.96	37.6	5.57e-6	7.76e-5
YLR456W	S000004448	NA	1.08	2.14	11.6	0.00223	0.0114
YCL025C	S000000530	AGP1	1.07	5.44	26.7	5.32e-5	5.26e-4
YNL072W	S000005016	RNH201	1.07	3.77	25.1	3.57e-5	3.83e-4
YMR049C	S000004652	ERB1	1.07	7.39	52	2.06e-7	4.83e-6
YPR145W	S000006349	ASN1	1.07	9.31	112	9.72e-11	6.82e-9
YOR340C	S000005867	RPA43	1.07	6.08	20.7	2.02e-4	0.00159
YML058W-A	S000007472	HUG1	1.07	-0.411	2.53	0.124	0.255
YBR056W-A	S000028736	NA	1.06	1.95	5.76	0.0242	0.0769
YJL200C	S000003736	ACO2	1.06	7.07	65.4	1.88e-8	6.08e-7
YGL078C	S000003046	DBP3	1.06	6.81	30.5	2.34e-5	2.65e-4
YGR161C	S000003393	RTS3	1.06	3.96	20.5	1.27e-4	0.00108
YHR088W	S000001130	RPF1	1.05	5.1	21.6	9.36e-5	8.37e-4
YHR197W	S000001240	RIX1	1.04	6.59	46.8	3.6e-7	7.87e-6
YOR226C	S000005752	ISU2	1.04	4.68	39.9	1.3e-6	2.28e-5
YIL103W	S000001365	DPH1	1.04	5.04	42.6	7.62e-7	1.47e-5
YGR158C	S000003390	MTR3	1.04	4.66	42	8.61e-7	1.62e-5
YER128W	S000000930	VFA1	1.03	2.41	16.7	4e-4	0.00285
YBR047W	S000000251	FMP23	1.03	1.66	5.31	0.0298	0.0893
YER138W-A	S000007239	NA	1.02	0.928	2.46	0.129	0.262
YIL131C	S000001393	FKH1	1.02	5.12	69.4	1.09e-8	3.81e-7
YDR120C	S000002527	TRM1	1.01	6.27	49.8	2.09e-7	4.85e-6
YDR040C	S000002447	ENA1	1.01	3.6	17	3.72e-4	0.0027
YPL211W	S000006132	NIP7	1.01	6.36	65.1	1.98e-8	6.31e-7
YKL072W	S000001555	STB6	1.01	3.99	33.1	5.35e-6	7.51e-5
YDR083W	S000002490	RRP8	1.01	5.46	17.8	4e-4	0.00285
YML060W	S000004525	OGG1	1.01	3.44	22.5	7.26e-5	6.84e-4
YIL170W	S000001432	HXT12	1.01	0.332	1.09	0.306	0.48
YLR406C	S000004398	RPL31B	1.01	8.34	90.7	8.3e-10	4.02e-8
YGR296W	S000003528	YRF1-3	1.01	1.54	0.411	0.533	0.689
YJR146W	S000003907	NA	1	-0.241	1.73	0.2	0.356
YBR069C	S000000273	TAT1	1	6.43	47.6	4.21e-7	8.95e-6
YPR001W	S000006205	CIT3	0.99	1.85	6.11	0.0206	0.0677
YLL025W	S000003948	PAU17	0.98	-0.257	1.4	0.247	0.414
YDR449C	S000002857	UTP6	0.98	5.56	40.1	1.24e-6	2.2e-5
YEL073C	S000000799	NA	0.98	-0.958	0.646	0.43	0.602
YHR066W	S000001108	SSF1	0.98	5.43	14.6	7.84e-4	0.00485
YBR142W	S000000346	MAK5	0.97	6.55	43.7	6.28e-7	1.25e-5
YNL132W	S000005076	KRE33	0.97	7.2	42.5	8.77e-7	1.64e-5
YLR003C	S000003993	CMS1	0.97	5.75	31.5	9.32e-6	1.19e-4
YJR016C	S000003777	ILV3	0.97	9.25	55.6	8.14e-8	2.19e-6
YIL141W	S000001403	NA	0.96	0.42	3.6	0.0694	0.169
YGR251W	S000003483	NOP19	0.96	2.91	11.9	0.00203	0.0107
YLR106C	S000004096	MDN1	0.96	8.05	38.2	2.65e-6	4.22e-5
YHR208W	S000001251	BAT1	0.96	8.69	43.1	9.28e-7	1.72e-5
YDR183C-A	S000028540	NA	0.96	2.49	5.01	0.0344	0.0998
YNL087W	S000005031	TCB2	0.95	7.45	44.4	7.6e-7	1.47e-5
YNL299W	S000005243	TRF5	0.95	4.29	15.1	6.62e-4	0.00423
YLR376C	S000004368	PSY3	0.95	1.37	6.94	0.0142	0.0505
YBR244W	S000000448	GPX2	0.95	5.77	33.4	5.54e-6	7.74e-5
YDR101C	S000002508	ARX1	0.94	7.81	63.1	2.63e-8	8.1e-7
YMR266W	S000004879	RSN1	0.94	1.66	6.98	0.014	0.0497
YIL047C-A	S000028790	NA	0.94	2.99	18.7	2.11e-4	0.00165
YHR136C	S000001178	SPL2	0.94	2.83	8.5	0.00737	0.0299
YDL037C	S000002195	BSC1	0.93	3.89	2.5	0.13	0.263
YOL128C	S000005488	YGK3	0.93	3.89	14.8	7.42e-4	0.00463
YLL008W	S000003931	DRS1	0.93	6.37	30.1	1.05e-5	1.33e-4
YLL034C	S000003957	RIX7	0.92	6	40.5	1.14e-6	2.03e-5
YJR070C	S000003831	LIA1	0.92	7.64	37.4	2.73e-6	4.29e-5
YLR063W	S000004053	BMT6	0.92	4.18	24.7	3.99e-5	4.15e-4
YPR119W	S000006323	CLB2	0.92	6.34	24	9.22e-5	8.29e-4
YOL125W	S000005485	TRM13	0.91	4.77	33.6	4.75e-6	6.78e-5
YGR041W	S000003273	BUD9	0.91	5.65	52.2	1.41e-7	3.46e-6
YBR093C	S000000297	PHO5	0.91	4.15	6.5	0.0218	0.0706
YLR329W	S000004321	REC102	0.91	-0.408	1.18	0.288	0.462
YIL069C	S000001331	RPS24B	0.91	9.09	75.8	4.73e-9	1.81e-7
YOL007C	S000005367	CSI2	0.9	5.52	38.4	1.72e-6	2.93e-5
YOL041C	S000005401	NOP12	0.89	6.28	29.2	1.81e-5	2.13e-4
YOR271C	S000005797	FSF1	0.89	6.68	35.2	4.55e-6	6.56e-5
YEL028W	S000000754	NA	0.89	-0.128	1.42	0.244	0.411
YDL131W	S000002289	LYS21	0.89	6.75	51.4	1.59e-7	3.87e-6
YGR159C	S000003391	NSR1	0.89	9.45	21.7	1.33e-4	0.00111
YLR214W	S000004204	FRE1	0.88	7.71	7.78	0.0155	0.053900000000000003
YDR184C	S000002592	ATC1	0.88	5.12	18.5	2.52e-4	0.00192
YDL241W	S000002400	NA	0.88	4.12	29.7	1.17e-5	1.45e-4
YPR010C	S000006214	RPA135	0.88	8.87	52.9	1.24e-7	3.1e-6
YNL216W	S000005160	RAP1	0.87	5.83	34.2	4.16e-6	6.09e-5
YGR049W	S000003281	SCM4	0.87	4.49	29.6	1.19e-5	1.48e-4
YGR160W	S000003392	NA	0.87	0.889	0.809	0.38	0.559
YML123C	S000004592	PHO84	0.87	8.65	26.3	4.55e-5	4.61e-4
YJL145W	S000003681	SFH5	0.87	5.59	48.6	2.58e-7	5.91e-6
YOL017W	S000005377	ESC8	0.87	3.08	13.8	0.00102	0.00603
YHL006C	S000000998	SHU1	0.86	0.365	2.5	0.126	0.258
YPL250C	S000006171	ATG41	0.86	4.01	9.05	0.00591	0.0252
YLR328W	S000004320	NMA1	0.86	6	74	5.92e-9	2.19e-7
YPL165C	S000006086	SET6	0.86	1.39	4.28	0.0491	0.131
YDR234W	S000002642	LYS4	0.85	7.18	57.4	6.09e-8	1.68e-6
YGL169W	S000003137	SUA5	0.85	5.77	38.2	1.8e-6	3.04e-5
YDR038C	S000002445	ENA5	0.85	2.68	9.15	0.00567	0.0244
YDR496C	S000002904	PUF6	0.84	6.98	41.3	9.72e-7	1.78e-5
YLR355C	S000004347	ILV5	0.84	10.8	38.3	1.77e-6	2.99e-5
YOR206W	S000005732	NOC2	0.84	7.21	29.6	1.54e-5	1.86e-4
YEL055C	S000000781	POL5	0.83	7.19	42.1	8.45e-7	1.6e-5
YGR177C	S000003409	ATF2	0.83	5.9	27.1	2.16e-5	2.47e-4
YFL056C	S000001838	AAD6	0.82	4.29	23.3	5.86e-5	5.68e-4
YKL014C	S000001497	URB1	0.82	7.15	41.3	9.89e-7	1.8e-5
YJR003C	S000003763	MRX12	0.82	5.72	48.7	2.53e-7	5.82e-6
YGL062W	S000003030	PYC1	0.82	9.45	40.6	1.13e-6	2.03e-5
YNR073C	S000005356	MAN2	0.82	-0.0679	0.705	0.409	0.585
YDL148C	S000002307	NOP14	0.81	5.97	19.4	1.99e-4	0.00157
YKR071C	S000001779	DRE2	0.81	6.22	25.7	4.36e-5	4.45e-4
YOR026W	S000005552	BUB3	0.81	4.16	25.4	3.32e-5	3.58e-4
YKR063C	S000001771	LAS1	0.81	4	12.9	0.00142	0.00784
YKR075C	S000001783	NA	0.81	3.1	6.32	0.0188	0.0627
YGR145W	S000003377	ENP2	0.81	6.02	20.9	1.13e-4	9.75e-4
YKL156W	S000001639	RPS27A	0.81	7.5	44.3	5.6e-7	1.14e-5
YPR150W	S000006354	NA	0.8	-0.3	0.907	0.35	0.528
YJL051W	S000003587	IRC8	0.8	5.56	31.6	7.48e-6	1.01e-4
YKL001C	S000001484	MET14	0.8	3.46	15.4	6.04e-4	0.00393
YNL002C	S000004947	RLP7	0.8	6.71	36.3	2.67e-6	4.24e-5
YDL182W	S000002341	LYS20	0.8	8.3	28.8	1.82e-5	2.13e-4
YMR096W	S000004702	SNZ1	0.8	3.21	15	6.8e-4	0.00432
YPL012W	S000005933	RRP12	0.8	8.18	40	1.27e-6	2.24e-5
YKR092C	S000001800	SRP40	0.8	7.01	34.3	4.13e-6	6.08e-5
YDR471W	S000002879	RPL27B	0.79	8.84	62.6	2.84e-8	8.61e-7
YBL028C	S000000124	NA	0.79	4.66	13.8	0.00103	0.00605
YKL218C	S000001701	SRY1	0.79	1.32	2.45	0.13	0.263
YLR186W	S000004176	EMG1	0.79	6.68	55.2	8.58e-8	2.3e-6
YIL091C	S000001353	UTP25	0.79	6.04	22.3	8.72e-5	7.94e-4
YHR118C	S000001160	ORC6	0.79	3.72	15.3	6.13e-4	0.00398
YJL069C	S000003605	UTP18	0.79	6.5	41	1.04e-6	1.89e-5
YDL211C	S000002370	NA	0.78	3.29	11.9	0.002	0.0105
YJR010W	S000003771	MET3	0.78	3.44	13.7	0.00107	0.00626
YIR005W	S000001444	IST3	0.78	1.76	4.89	0.0364	0.104
YHR065C	S000001107	RRP3	0.78	5.71	11	0.00316	0.0152
YGR245C	S000003477	SDA1	0.77	6.8	10.7	0.00371	0.0173
YPR112C	S000006316	MRD1	0.77	5.91	23.3	5.84e-5	5.67e-4
YKR056W	S000001764	TRM2	0.77	6.2	18.4	2.9e-4	0.00216
YLR316C	S000004308	TAD3	0.77	3.8	15	6.93e-4	0.00438
YBL071W-A	S000007587	KTI11	0.77	3.41	8.49	0.00741	0.0301
YDL153C	S000002312	SAS10	0.77	5.78	9.06	0.00736	0.0299
YHR184W	S000001227	SSP1	0.77	0.379	2.43	0.132	0.266
YER056C	S000000858	FCY2	0.77	8.91	20.6	1.61e-4	0.00131
YAL036C	S000000034	RBG1	0.76	6.73	58.2	5.39e-8	1.52e-6
YNL113W	S000005057	RPC19	0.76	5.68	19	2.26e-4	0.00174
YOL077C	S000005437	BRX1	0.76	7.05	25	3.66e-5	3.89e-4
YOR310C	S000005837	NOP58	0.76	8.58	37.7	1.99e-6	3.29e-5
YPR144C	S000006348	NOC4	0.76	6.65	44.2	5.7e-7	1.15e-5
YMR194W	S000004807	RPL36A	0.76	8.19	21.7	1.34e-4	0.00112
YOR058C	S000005584	ASE1	0.76	5.02	15.9	6.08e-4	0.00395
YPL156C	S000006077	PRM4	0.76	2.25	3.55	0.0711	0.171
YOR234C	S000005760	RPL33B	0.76	8.56	48.2	2.79e-7	6.31e-6
YGR155W	S000003387	CYS4	0.76	9.58	47	3.44e-7	7.55e-6
YHR128W	S000001170	FUR1	0.76	7.58	46.3	3.89e-7	8.33e-6
YKL009W	S000001492	MRT4	0.76	7.19	35.8	3e-6	4.6e-5
YKL144C	S000001627	RPC25	0.75	4.5	19	1.94e-4	0.00154
YDL060W	S000002218	TSR1	0.75	6.63	31.2	8.26e-6	1.09e-4
YER045C	S000000847	ACA1	0.75	2.82	7.99	0.00912	0.0357
YLR213C	S000004203	CRR1	0.75	1.83	6.09	0.0207	0.0681
YGR060W	S000003292	ERG25	0.75	9.33	44.2	5.67e-7	1.15e-5
YOL159C	S000005519	CSS3	0.75	0.928	2.24	0.147	0.287
YLR196W	S000004186	PWP1	0.75	6.9	39.7	1.35e-6	2.34e-5
YMR310C	S000004927	NA	0.74	5.72	23.7	5.24e-5	5.22e-4
YJR132W	S000003893	NMD5	0.74	6.82	63.5	2.49e-8	7.81e-7
YLR002C	S000003992	NOC3	0.74	6.06	26.3	2.63e-5	2.94e-4
YHR085W	S000001127	IPI1	0.74	4.68	17.5	3.05e-4	0.00226
YKL186C	S000001669	MTR2	0.74	4.98	28.1	1.72e-5	2.03e-4
YNL086W	S000005030	SNN1	0.74	1.01	2.63	0.117	0.244
YBR033W	S000000237	EDS1	0.74	1.85	1.31	0.262	0.431
YLL021W	S000003944	SPA2	0.74	6.38	28.6	1.51e-5	1.82e-4
YJL208C	S000003744	NUC1	0.74	5.38	22.6	7.05e-5	6.65e-4
YLR175W	S000004165	CBF5	0.74	8.37	20.5	1.73e-4	0.00139
YHR137W	S000001179	ARO9	0.74	7.89	31.2	8.21e-6	1.09e-4
YHR070W	S000001112	TRM5	0.73	5.41	29	1.36e-5	1.66e-4
YGL256W	S000003225	ADH4	0.73	8.07	49.8	2.08e-7	4.85e-6
YPL086C	S000006007	ELP3	0.73	6.31	44.8	5.1e-7	1.05e-5
YHR081W	S000001123	LRP1	0.73	3.45	4.65	0.042	0.116
YNL062C	S000005006	GCD10	0.73	6.18	10.1	0.00543	0.0236
YKL099C	S000001582	UTP11	0.73	4.93	9.66	0.00503	0.0221
YGL051W	S000003019	MST27	0.73	-0.683	0.207	0.655	0.781
YGR152C	S000003384	RSR1	0.73	5.13	30.1	1.04e-5	1.32e-4
YBR073W	S000000277	RDH54	0.73	2.9	10.7	0.00317	0.0152
YGR085C	S000003317	RPL11B	0.72	9.32	32.4	6.21e-6	8.54e-5
YGR162W	S000003394	TIF4631	0.72	8.43	36	2.87e-6	4.44e-5
YDR507C	S000002915	GIN4	0.72	5.67	19.6	1.89e-4	0.00151
YKR081C	S000001789	RPF2	0.72	6.59	17.5	3.65e-4	0.00266
YBR233W-A	S000007595	DAD3	0.72	2.27	6.54	0.017	0.058
YBR242W	S000000446	NA	0.72	5.12	37.9	1.93e-6	3.23e-5
YBR189W	S000000393	RPS9B	0.72	10.9	42.2	8.24e-7	1.57e-5
YIL079C	S000001341	AIR1	0.72	4.78	12.3	0.00181	0.00971
YLR197W	S000004187	NOP56	0.72	8.76	35.5	3.17e-6	4.83e-5
YDL014W	S000002172	NOP1	0.71	9.54	13.5	0.0016	0.00872
YHR170W	S000001213	NMD3	0.71	7.31	44.9	5e-7	1.03e-5
YDR441C	S000002849	APT2	0.71	5.1	25	3.68e-5	3.9e-4
YPL198W	S000006119	RPL7B	0.71	9.35	40.5	1.14e-6	2.03e-5
YER176W	S000000978	ECM32	0.71	5.28	35.8	2.99e-6	4.6e-5
YNL282W	S000005226	POP3	0.71	2.65	7.42	0.0116	0.0431
YDR315C	S000002723	IPK1	0.71	2.72	7	0.0139	0.0495
YDL213C	S000002372	NOP6	0.71	4.76	12.1	0.0018600000000000001	0.00991
YER127W	S000000929	LCP5	0.71	5.38	15.5	5.83e-4	0.00381
YOR294W	S000005820	RRS1	0.71	5.87	23.6	5.36e-5	5.29e-4
YML126C	S000004595	ERG13	0.71	9.9	40.5	1.14e-6	2.03e-5
YDL208W	S000002367	NHP2	0.71	6.9	18.4	3.15e-4	0.00233
YDR060W	S000002467	MAK21	0.7	7.37	27.3	2.1e-5	2.42e-4
YHR089C	S000001131	GAR1	0.7	7.95	45	4.93e-7	1.03e-5
YEL071W	S000000797	DLD3	0.7	9.95	43.5	6.41e-7	1.27e-5
YLR276C	S000004266	DBP9	0.7	6.51	13.6	0.0014	0.00779
YNR059W	S000005342	MNT4	0.7	4.05	17.8	2.79e-4	0.00209
YGR214W	S000003446	RPS0A	0.7	10.6	39.3	1.46e-6	2.49e-5
YBR226C	S000000430	NA	0.7	-0.429	0.776	0.387	0.565
YML098W	S000004564	TAF13	0.7	3.22	10.8	0.00299	0.0145
YDL082W	S000002240	RPL13A	0.69	9.31	44	5.91e-7	1.18e-5
YDR502C	S000002910	SAM2	0.69	7.7	27	2.33e-5	2.65e-4
YMR144W	S000004752	FDO1	0.69	3.4	7.69	0.0104	0.0395
YOR032C	S000005558	HMS1	0.69	1.78	1.48	0.235	0.4
YPR110C	S000006314	RPC40	0.69	7.4	36.3	2.68e-6	4.24e-5
YPL209C	S000006130	IPL1	0.69	2.29	4.9	0.0363	0.104
YGL170C	S000003138	SPO74	0.69	0.264	1.55	0.225	0.388
YOR073W	S000005599	SGO1	0.69	3.93	17.5	3.04e-4	0.00225
YDR179C	S000002586	CSN9	0.69	0.167	1.51	0.23	0.394
YNL020C	S000004965	ARK1	0.68	4.19	15.2	6.31e-4	0.00407
YGR292W	S000003524	MAL12	0.68	0.0515	0.306	0.588	0.733
YOR272W	S000005798	YTM1	0.68	6.79	24.5	4.22e-5	4.33e-4
YLR435W	S000004427	TSR2	0.68	5.29	18.7	2.15e-4	0.00167
YNL061W	S000005005	NOP2	0.68	7.19	27.5	1.96e-5	2.28e-4
YDR132C	S000002539	NA	0.68	3.56	12.9	0.00141	0.00781
YLR414C	S000004406	PUN1	0.68	5.13	25.5	3.21e-5	3.5e-4
YOL159C-A	S000007627	NA	0.68	0.934	2.47	0.129	0.261
YLR466W	S000004458	YRF1-4	0.68	2.95	4.39	0.0473	0.127
YIL158W	S000001420	AIM20	0.68	4.64	13.7	0.00106	0.0062
YBR291C	S000000495	CTP1	0.68	4.72	12.7	0.00153	0.00836
YBR247C	S000000451	ENP1	0.68	6.44	15.8	5.82e-4	0.00381
YFL034C-A	S000006436	RPL22B	0.68	6.43	14.2	0.00123	0.00696
YPL163C	S000006084	SVS1	0.68	5.53	30.4	9.74e-6	1.24e-4
YOL019W	S000005379	NA	0.68	5.97	36.4	2.61e-6	4.18e-5
YLR068W	S000004058	FYV7	0.68	3.44	3.62	0.0707	0.171
YGR238C	S000003470	KEL2	0.68	3.68	7.28	0.0126	0.0461
YIL094C	S000001356	LYS12	0.67	7.28	43.9	5.99e-7	1.19e-5
YNL096C	S000005040	RPS7B	0.67	9.07	36.4	2.64e-6	4.22e-5
YBL042C	S000000138	FUI1	0.67	6.2	15.9	5.08e-4	0.00341
YOR025W	S000005551	HST3	0.67	4.97	24.5	4.18e-5	4.32e-4
YPL093W	S000006014	NOG1	0.67	8.19	22.2	8.25e-5	7.6e-4
YER002W	S000000804	NOP16	0.67	4.76	6.65	0.0183	0.0614
YOR373W	S000005900	NUD1	0.67	4.88	33.8	4.57e-6	6.58e-5
YDL166C	S000002325	FAP7	0.67	4.28	12.2	0.00182	0.00978
YML006C	S000004465	GIS4	0.67	4.68	16.4	4.29e-4	0.00302
YGR093W	S000003325	DRN1	0.66	5.05	19.6	1.63e-4	0.00133
YMR177W	S000004789	MMT1	0.66	3.87	12.6	0.00153	0.00836
YGR083C	S000003315	GCD2	0.66	6.46	23.9	4.94e-5	4.95e-4
YLR037C	S000004027	PAU23	0.66	0.561	1.72	0.202	0.359
YOR341W	S000005868	RPA190	0.66	8.91	36.3	2.71e-6	4.27e-5
YCR072C	S000000668	RSA4	0.66	6.21	15.5	6.8e-4	0.00432
YNL175C	S000005119	NOP13	0.66	6.19	16.7	3.89e-4	0.0028
YJR149W	S000003910	NA	0.66	4.03	10.7	0.00306	0.0148
YHL033C	S000001025	RPL8A	0.66	9.62	29.9	1.09e-5	1.38e-4
YNL303W	S000005247	NA	0.66	1.29	2.51	0.126	0.258
Q0055	S000007262	AI2	0.66	3.4	0.806	0.387	0.565
YOR056C	S000005582	NOB1	0.66	5.62	19.5	1.69e-4	0.00136
YDR046C	S000002453	BAP3	0.66	7.97	28.4	1.58e-5	1.89e-4
YLR198C	S000004188	NA	0.66	2.04	2.03	0.167	0.314
YGR030C	S000003262	POP6	0.66	2.82	2.22	0.152	0.293
YCL054W	S000000559	SPB1	0.65	6.43	15.2	7e-4	0.00442
YPL207W	S000006128	TYW1	0.65	7.01	29.8	1.13e-5	1.41e-4
YFL021W	S000001873	GAT1	0.65	3.55	4.38	0.0495	0.131
