ORF	GENENAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SGD
YIL170W	HXT12	14.84987644858715	0.9768969799620801	0.8786888462155321	1.1117666784659046	0.2662384822542384	0.4433627805785925	S000001432
YFL056C	AAD6	265.8870707348264	0.8156190588668419	0.1834048295530261	4.447096954069194	8.703855978001517e-6	7.470698978370157e-5	S000001838
YAR061W	NA	20.132641844518574	-0.636436308006547	0.4683633651027405	-1.3588515999045696	0.17419361848254356	0.32929485615951354	S000000087
YGR014W	MSB2	2615.6547738478694	-0.01741058005703235	0.12822443145066678	-0.1357820803731223	0.8919935576411876	0.9420980238697645	S000003246
YPR031W	NTO1	237.3713151133513	-0.11634434669279242	0.2261103078380497	-0.5145468501866064	0.6068697138706936	0.7553252013833104	S000006235
YIL003W	CFD1	199.8520880769908	0.24179836591543752	0.18197940921803357	1.32871277555217	0.18394274841224006	0.34242587138199126	S000001265
YBR140C	IRA1	2840.0834376191992	-0.17812507971553143	0.11927046204892969	-1.493455099071027	0.13531809928003732	0.2750391735908784	S000000344
YKL029C	MAE1	3339.128276588427	0.4163060269712975	0.2673339153915206	1.5572510744160597	0.11941088645628103	0.2520000013728273	S000001512
YLR154C-G	NA	1332.9264259082356	-0.3797507194594669	0.5029114490138089	-0.7551045421696887	0.4501862580279619	0.6302159219704188	S000028561
YPL028W	ERG10	13172.257700593582	0.49759181451610773	0.13748851114455324	3.6191519594895287	2.955700439196298e-4	0.0017546935447900305	S000005949
YDL235C	YPD1	897.2593222443704	0.32416838797935565	0.12946021873538852	2.5040000020542434	0.012279803348193017	0.043364983934385135	S000002394
YER091C	MET6	2846.4043883026006	1.9477088383052414	0.26739045503546516	7.284137491171509	3.237347255268149e-13	8.426095494961822e-12	S000000893
YDR356W	SPC110	240.25777236409655	0.2490031532531523	0.2690569059528469	0.9254665007438646	0.3547233011434905	0.5407414314069153	S000002764
YDR337W	MRPS28	439.61821954918923	0.1385728536491474	0.13534899493854588	1.023818859623341	0.30592084070905556	0.4874963056877297	S000002745
YKL008C	LAC1	1343.1641363720478	-0.21608456626241773	0.13759608457148267	-1.570426708982111	0.1163158727904559	0.24733989464269335	S000001491
YDL200C	MGT1	64.63588433331316	0.16633512220502533	0.335366167858015	0.4959806269887282	0.6199080793423114	0.7634476531704848	S000002359
YJR134C	SGM1	416.9830229220765	0.1845641665666086	0.177891281338645	1.0375110302076056	0.29949775784929095	0.48039269461589545	S000003895
YMR135C	GID8	276.2582942941311	-0.765247793288626	0.2095988723419578	-3.651011022808054	2.6121002771112403e-4	0.001572294192496723	S000004742
YGR012W	MCY1	710.0170156386288	0.18892097641053165	0.1305055379534458	1.4476088859763478	0.1477264646015978	0.29233304610706895	S000003244
YCR024C-A	PMP1	703.2250754126817	0.582369893819354	0.5185501333146036	1.1230734627273367	0.26140629560649586	0.4373887481844404	S000000619
YBL101C	ECM21	803.5727312650721	-0.5267834571009636	0.126094377043865	-4.177691895949565	2.944821874801529e-5	2.271027240073278e-4	S000000197
YLL040C	VPS13	2063.6230235350363	-0.3770260297149614	0.09817847282771115	-3.8402107799801173	1.2292871926625402e-4	8.198164409429183e-4	S000003963
YLR216C	CPR6	7943.764901447187	-0.8217573479192479	0.08852863743468327	-9.28239010258735	1.657186695282222e-20	7.278674688184884e-19	S000004206
YJL210W	PEX2	389.7186257669081	-0.8501191575265756	0.1647542379707563	-5.159922852348544	2.470516250957126e-7	2.9364148758733535e-6	S000003746
YML116W-A	NA	101.52213444280792	-0.32325972645056483	0.21766672391677247	-1.4851132071715616	0.13751383807670903	0.27789460735703025	S000004586
YBL058W	SHP1	1212.7190226426055	-0.39775431007600875	0.11136001090169648	-3.5717876359326874	3.5455286278781336e-4	0.002063453617591187	S000000154
YJR127C	RSF2	819.028162586945	-1.3474770913614806	0.15023432621386107	-8.969169199343462	2.987593188083842e-19	1.2171194857541564e-17	S000003888
YKL128C	PMU1	1112.516267115016	0.16037982788360608	0.10822189854652575	1.4819535605786576	0.1383526520511999	0.27855731493972186	S000001611
YLR100W	ERG27	1920.8657319595964	0.3599477701875797	0.09038629083075835	3.982327041847035	6.824378507304046e-5	4.825994461391616e-4	S000004090
YOR292C	NA	380.88411318095905	-0.9581753731967816	0.16841219374440253	-5.689465542210053	1.2743760114737046e-8	1.8092277617437292e-7	S000005818
YNL219C	ALG9	3730.539254350674	-0.045484166629916646	0.1150653208762504	-0.39528996472215655	0.6926289046385371	0.8149769154202293	S000005163
YDR540C	IRC4	103.64172794744239	0.5404754453645731	0.2812672107140274	1.9215728843490767	0.054659523248098106	0.1419027852996754	S000002948
YER087W	AIM10	255.80127393351586	0.3011147579268541	0.1839316295321949	1.6371015615568596	0.10160925037340775	0.22490051791730664	S000000889
YFL009W	CDC4	1153.2986406522036	-0.12087492317331666	0.10860611645921096	-1.1129660751539117	0.26572299986890613	0.4427666583470629	S000001885
YLL004W	ORC3	272.6443176459916	0.23347863704624539	0.16927158851669155	1.379313794430555	0.16779802522599283	0.32130807146475876	S000003927
YKL057C	NUP120	2907.1077732318618	0.12917726591893358	0.11830980852857816	1.0918559291534171	0.27489643126358887	0.4534823170668711	S000001540
YGL157W	ARI1	814.9181957847422	-0.14393691896257357	0.11844456286890687	-1.2152260557699164	0.2242798853154331	0.39489555754568273	S000003125
YLR037C	PAU23	18.462592588137262	0.6383635199394615	0.5308736091548045	1.2024774050376887	0.2291786151761141	0.3999949431000907	S000004027
YMR307W	GAS1	26769.602145553843	0.4578992986331483	0.1289012580527123	3.552326063768106	3.8184137279361277e-4	0.002208551643874168	S000004924
YIL116W	HIS5	1343.5576437985542	-0.035011567103691306	0.13566533659540878	-0.25807304933098274	0.7963505307359883	0.8834022659427242	S000001378
YAL040C	CLN3	3530.000652726782	-1.059792495690615	0.14132403394572807	-7.499025226647589	6.429415456296457e-14	1.7894145393712218e-12	S000000038
YPL259C	APM1	702.103440198375	0.27042776546284686	0.1240577116258928	2.1798545363979156	0.029268245870618027	0.08760172406848263	S000006180
YDR461C-A	NA	6.9432529324690915	-1.3337357396842489	1.082844439414819	-1.2316965310409818	0.2180624661492958	0.3871004688005497	S000087209
YIR005W	IST3	43.98218240773998	0.7636630994279446	0.36286316639538757	2.104548408740479	0.035330636541683745	0.10160042897050947	S000001444
YDL080C	THI3	380.06764672181293	0.1078533833100549	0.14491208268979391	0.7442677056883605	0.45671453456189187	0.6367742507402897	S000002238
YEL044W	IES6	213.7005210989784	0.3037145370811716	0.198885554247822	1.5270819352858935	0.12674063835444793	0.26225096386776087	S000000770
YLR286C	CTS1	7997.453450501531	-0.014669100454570585	0.14537688456301434	-0.10090394011856947	0.9196267153123242	0.9574575245313971	S000004276
YJL209W	CBP1	462.0478174064561	-0.19612584538444267	0.1228294821150247	-1.5967326573988072	0.11032531276876349	0.237825501681744	S000003745
YOR371C	GPB1	564.5513183036811	-0.14145777875737967	0.14108850094345415	-1.002617348766598	0.3160455219302494	0.49867074546627105	S000005898
