ORF	SGD	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
YOL106W	S000005466	NA	0.0103	2.58	0.042	0.967	0.98	-6.92
YBR231C	S000000435	SWC5	0.0101	2.98	0.0432	0.966	0.98	-7.11
YER061C	S000000863	CEM1	0.0104	3.28	0.0431	0.966	0.98	-7.21
YPL215W	S000006136	CBP3	0.00472	5.49	0.0429	0.966	0.98	-7.72
YNL077W	S000005021	APJ1	-0.011	2.93	-0.0428	0.966	0.98	-7.1
YKL195W	S000001678	MIA40	-0.00997	5.86	-0.0439	0.965	0.98	-7.76
YLR315W	S000004307	NKP2	-0.0157	1.29	-0.0445	0.965	0.98	-6.55
YER080W	S000000882	AIM9	-0.00653	6.08	-0.0451	0.964	0.98	-7.79
YOR064C	S000005590	YNG1	0.00846	3.71	0.0459	0.964	0.98	-7.33
YDR242W	S000002650	AMD2	-0.0216	1.13	-0.0456	0.964	0.98	-6.46
YJL131C	S000003667	AIM23	-0.00969	3.59	-0.0455	0.964	0.98	-7.26
YGL158W	S000003126	RCK1	-0.0271	0.293	-0.0463	0.963	0.98	-6.29
YDR305C	S000002713	HNT2	-0.00846	4.14	-0.0479	0.962	0.98	-7.42
YKL173W	S000001656	SNU114	0.00662	5.59	0.0488	0.961	0.98	-7.73
YJR105W	S000003866	ADO1	0.00775	8.97	0.0485	0.962	0.98	-7.84
YDR028C	S000002435	REG1	-0.00587	6.61	-0.0483	0.962	0.98	-7.84
YMR114C	S000004720	NA	-0.015	2.33	-0.0482	0.962	0.98	-6.89
YBR004C	S000000208	GPI18	-0.00797	5.83	-0.0499	0.961	0.98	-7.77
YPL118W	S000006039	MRP51	-0.00596	6.11	-0.0507	0.96	0.98	-7.8
YCL057W	S000000562	PRD1	-0.00518	7.97	-0.0505	0.96	0.98	-7.86
YMR191W	S000004803	SPG5	-0.00626	6.42	-0.0517	0.959	0.98	-7.77
YDR079C-A	S000007603	TFB5	-0.0206	1.62	-0.0528	0.958	0.97	-6.68
