ORF	SGD	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
YCR082W	S000000678	AHC2	0.0668	4.65	0.488	0.63	0.76	-7.44
YJR053W	S000003814	BFA1	0.132	2.74	0.488	0.63	0.76	-6.91
YNL197C	S000005141	WHI3	0.0559	7.66	0.488	0.63	0.76	-7.75
YDR314C	S000002722	RAD34	-0.12	2.88	-0.489	0.629	0.76	-6.95
YKL095W	S000001578	YJU2	-0.161	2.22	-0.49	0.629	0.76	-6.74
YER042W	S000000844	MXR1	0.0965	4.34	0.491	0.628	0.76	-7.27
YIR017C	S000001456	MET28	0.259	0.697	0.492	0.628	0.76	-6.11
YHL038C	S000001030	CBP2	0.0667	5.12	0.492	0.628	0.76	-7.53
YKR022C	S000001730	NTR2	-0.117	2.96	-0.493	0.627	0.76	-6.99
YBL002W	S000000098	HTB2	0.0472	8.31	0.493	0.626	0.76	-7.74
YDR066C	S000002473	RTR2	-0.168	2.02	-0.494	0.626	0.76	-6.69
YNR003C	S000005286	RPC34	0.0703	4.57	0.494	0.626	0.76	-7.36
YCR088W	S000000684	ABP1	-0.0586	6.95	-0.496	0.625	0.76	-7.73
YIL020C-A	S000028787	NA	0.295	1.26	0.496	0.625	0.76	-6.41
YPL232W	S000006153	SSO1	0.0603	6.04	0.496	0.625	0.76	-7.67
YHR058C	S000001100	MED6	0.105	3.26	0.497	0.624	0.76	-7.07
YER147C	S000000949	SCC4	0.0983	3.66	0.497	0.624	0.76	-7.17
YIR009W	S000001448	MSL1	0.163	2.11	0.497	0.624	0.76	-6.7
YLR271W	S000004261	CMG1	-0.198	1.17	-0.498	0.623	0.76	-6.38
YIR042C	S000001481	NA	0.136	2.5	0.498	0.623	0.76	-6.83
YNL257C	S000005201	SIP3	-0.0562	5.72	-0.498	0.623	0.76	-7.63
YJL046W	S000003582	AIM22	-0.0631	4.29	-0.499	0.623	0.76	-7.35
YHR009C	S000001051	TDA3	-0.0509	7.08	-0.499	0.623	0.76	-7.74
YDR368W	S000002776	YPR1	-0.053	6.82	-0.5	0.622	0.76	-7.68
YOL078W	S000005438	AVO1	0.0773	4.27	0.5	0.622	0.76	-7.34
YOL163W	S000005523	NA	-0.386	-0.742	-0.5	0.622	0.76	-5.87
YBR027C	S000000231	NA	-0.385	-0.502	-0.499	0.622	0.76	-5.97
YFR031C	S000001927	SMC2	0.0854	4.69	0.504	0.619	0.76	-7.44
YGR048W	S000003280	UFD1	-0.0667	4.99	-0.504	0.619	0.76	-7.44
YKL126W	S000001609	YPK1	-0.0546	7.57	-0.503	0.619	0.76	-7.73
YPL031C	S000005952	PHO85	0.0605	5.99	0.504	0.619	0.76	-7.64
YNL036W	S000004981	NCE103	0.0903	7.1	0.505	0.619	0.75	-7.53
YKR093W	S000001801	PTR2	0.0626	8.48	0.507	0.617	0.75	-7.73
YOL063C	S000005424	CRT10	0.06	5.33	0.506	0.617	0.75	-7.55
YGR175C	S000003407	ERG1	0.0521	8.94	0.506	0.618	0.75	-7.71
YPR023C	S000006227	EAF3	-0.0509	5.86	-0.508	0.617	0.75	-7.64
YKL052C	S000001535	ASK1	-0.0866	3.87	-0.509	0.616	0.75	-7.24
YKL077W	S000001560	NA	-0.0412	7.39	-0.509	0.616	0.75	-7.74
YOL137W	S000005497	BSC6	0.0635	5.62	0.509	0.615	0.75	-7.61
YLL044W	S000003967	NA	0.295	1.54	0.51	0.615	0.75	-6.49
YOR163W	S000005689	DDP1	-0.0752	4.53	-0.51	0.615	0.75	-7.38
YLR460C	S000004452	NA	-0.124	2.63	-0.511	0.614	0.75	-6.85
YJL097W	S000003633	PHS1	-0.065	6.83	-0.511	0.614	0.75	-7.73
YEL036C	S000000762	ANP1	-0.0509	6.86	-0.512	0.614	0.75	-7.72
YML032C	S000004494	RAD52	-0.071	5	-0.512	0.613	0.75	-7.5
YHR108W	S000001150	GGA2	0.0475	7.74	0.513	0.613	0.75	-7.74
YJL092W	S000003628	SRS2	0.0773	4.65	0.513	0.613	0.75	-7.41
YPR022C	S000006226	SDD4	0.0637	5.76	0.513	0.613	0.75	-7.62
YHR215W	S000001258	PHO12	0.515	1.13	0.514	0.613	0.75	-6.25
YNL215W	S000005159	IES2	0.11	3.98	0.514	0.612	0.75	-7.26
YDR296W	S000002704	MHR1	0.0797	4.58	0.514	0.612	0.75	-7.41
YCR023C	S000000617	NA	0.0642	5.73	0.515	0.611	0.75	-7.62
YCL001W	S000000507	RER1	0.0502	6.54	0.516	0.611	0.75	-7.71
YNL187W	S000005131	SWT21	-0.132	2.48	-0.516	0.611	0.75	-6.82
YOR100C	S000005626	CRC1	0.295	0.948	0.517	0.61	0.75	-6.07
YPL049C	S000005970	DIG1	-0.0718	4.45	-0.517	0.61	0.75	-7.37
YEL034C-A	S000028743	NA	-0.212	3.04	-0.517	0.61	0.75	-6.93
YER003C	S000000805	PMI40	0.0553	8.95	0.517	0.61	0.75	-7.7
YPR069C	S000006273	SPE3	-0.0518	8.56	-0.518	0.609	0.75	-7.72
YCR038C	S000000634	BUD5	-0.0963	3.28	-0.518	0.609	0.75	-7.06
YDR127W	S000002534	ARO1	0.0841	8.84	0.519	0.608	0.75	-7.71
YAL037C-B	S000028592	NA	-0.268	3.74	-0.521	0.607	0.75	-7.18
YGL255W	S000003224	ZRT1	-0.125	2.88	-0.521	0.607	0.75	-6.95
YMR282C	S000004895	AEP2	-0.0645	5.29	-0.522	0.607	0.75	-7.55
YHR079C	S000001121	IRE1	0.0593	5.66	0.522	0.607	0.75	-7.61
YBR107C	S000000311	IML3	-0.0917	3.07	-0.523	0.606	0.75	-7
YDL088C	S000002246	ASM4	0.0526	6.31	0.524	0.606	0.74	-7.68
YPL180W	S000006101	TCO89	-0.0838	4.57	-0.524	0.606	0.74	-7.4
YBL005W	S000000101	PDR3	-0.0679	5.42	-0.524	0.606	0.74	-7.57
YKL217W	S000001700	JEN1	0.256	0.456	0.523	0.606	0.74	-6.17
YIL013C	S000001275	PDR11	-0.103	3.53	-0.526	0.604	0.74	-7.14
YGR181W	S000003413	TIM13	-0.0846	4.23	-0.526	0.604	0.74	-7.32
YML122C	S000004591	NA	-0.507	-1.95	-0.527	0.603	0.74	-5.62
YGL005C	S000002973	COG7	0.0857	4.09	0.528	0.603	0.74	-7.28
YOR394W	S000005921	PAU21	0.453	-1.11	0.529	0.602	0.74	-5.77
YIL152W	S000001414	NA	-0.134	2.22	-0.53	0.602	0.74	-6.73
YLR407W	S000004399	NA	0.0703	4.79	0.53	0.601	0.74	-7.44
YFL017C	S000001877	GNA1	-0.0745	4.16	-0.531	0.601	0.74	-7.3
YNR023W	S000005306	SNF12	0.0881	4.67	0.531	0.601	0.74	-7.42
YPR004C	S000006208	AIM45	0.0597	6.92	0.532	0.6	0.74	-7.72
YGR067C	S000003299	NA	-0.368	-1.05	-0.531	0.6	0.74	-5.82
YPL269W	S000006190	KAR9	0.0978	3.44	0.531	0.6	0.74	-7.11
YKL046C	S000001529	DCW1	0.0531	7.23	0.531	0.6	0.74	-7.73
YMR244W	S000004858	NA	-0.357	-0.93	-0.532	0.6	0.74	-5.82
YDL005C	S000002163	MED2	-0.0823	4.58	-0.533	0.599	0.74	-7.4
YBR294W	S000000498	SUL1	0.267	0.574	0.534	0.598	0.74	-6.13
YOR130C	S000005656	ORT1	-0.0777	4.09	-0.535	0.598	0.74	-7.27
YIL114C	S000001376	POR2	0.0678	5.17	0.535	0.598	0.74	-7.52
YKR011C	S000001719	NA	0.107	5.25	0.537	0.596	0.74	-7.19
YPL184C	S000006105	MRN1	0.0632	6.65	0.538	0.596	0.74	-7.7
YML074C	S000004539	FPR3	0.109	7.31	0.538	0.596	0.74	-7.72
YNL010W	S000004955	NA	0.055	7.46	0.538	0.596	0.74	-7.73
YOR327C	S000005854	SNC2	-0.0862	4.99	-0.539	0.595	0.74	-7.46
YLR426W	S000004418	TDA5	-0.0906	4.51	-0.54	0.594	0.73	-7.37
YBL059C-A	S000007488	CMC2	-0.109	3.27	-0.541	0.594	0.73	-7.06
YLR119W	S000004109	SRN2	-0.18	2.22	-0.541	0.594	0.73	-6.72
YIL005W	S000001267	EPS1	-0.0643	6.5	-0.542	0.593	0.73	-7.68
YGR289C	S000003521	MAL11	-0.116	3.19	-0.542	0.593	0.73	-7
YHR069C-A	S000028779	NA	-0.544	-1.23	-0.543	0.592	0.73	-5.75
YBR208C	S000000412	DUR1,2	-0.0821	5.85	-0.543	0.592	0.73	-7.61
YGL200C	S000003168	EMP24	-0.0673	8.33	-0.544	0.592	0.73	-7.71
YDR401W	S000002809	NA	-0.266	0.537	-0.545	0.591	0.73	-6.16
YHR024C	S000001066	MAS2	0.0572	6.56	0.545	0.591	0.73	-7.69
YHR098C	S000001140	SFB3	0.0512	8.38	0.546	0.591	0.73	-7.71
YDL171C	S000002330	GLT1	0.0622	8.42	0.546	0.591	0.73	-7.71
YDL232W	S000002391	OST4	-0.287	1.15	-0.546	0.59	0.73	-6.37
YLL048C	S000003971	YBT1	0.0506	8.9	0.546	0.59	0.73	-7.69
YAL009W	S000000007	SPO7	0.0885	4.47	0.548	0.589	0.73	-7.35
YHL019C	S000001011	APM2	0.114	4.08	0.548	0.589	0.73	-7.25
YNL241C	S000005185	ZWF1	-0.0922	7.98	-0.55	0.588	0.73	-7.71
YNL053W	S000004998	MSG5	0.0752	4.2	0.55	0.587	0.73	-7.29
YKL179C	S000001662	COY1	0.0895	5.2	0.551	0.587	0.73	-7.51
YNL265C	S000005209	IST1	-0.104	3.97	-0.552	0.587	0.73	-7.21
YMR273C	S000004886	ZDS1	-0.0766	4.59	-0.552	0.586	0.73	-7.39
YLR030W	S000004020	NA	-0.468	-1.35	-0.552	0.586	0.73	-5.66
YJL118W	S000003654	NA	-0.137	3.16	-0.552	0.587	0.73	-6.99
YPL038W	S000005959	MET31	0.115	3.24	0.552	0.586	0.73	-7.04
YGR122W	S000003354	NA	0.0729	4.15	0.553	0.585	0.73	-7.27
YCR066W	S000000662	RAD18	-0.127	3.62	-0.553	0.586	0.73	-7.14
YDR379C-A	S000007605	SDH6	-0.268	1.59	-0.556	0.584	0.73	-6.22
YDR425W	S000002833	SNX41	0.12	3.88	0.556	0.584	0.73	-7.19
YBR168W	S000000372	PEX32	-0.0832	3.72	-0.557	0.583	0.73	-7.17
YLR324W	S000004316	PEX30	-0.0664	5.37	-0.557	0.583	0.73	-7.51
YER010C	S000000812	NA	-0.0896	4.82	-0.558	0.583	0.73	-7.33
YLR070C	S000004060	XYL2	-0.275	0.0534	-0.558	0.583	0.73	-6.06
YNR075W	S000005358	COS10	-0.186	2.18	-0.558	0.582	0.72	-6.62
YPL077C	S000005998	NA	-0.172	1.42	-0.559	0.582	0.72	-6.45
YER005W	S000000807	YND1	-0.059	5.58	-0.559	0.581	0.72	-7.57
YMR216C	S000004829	SKY1	-0.0595	6.04	-0.56	0.581	0.72	-7.63
YEL063C	S000000789	CAN1	0.0575	7.41	0.563	0.579	0.72	-7.71
YOR081C	S000005607	TGL5	-0.077	5.46	-0.563	0.579	0.72	-7.55
YPR123C	S000006327	NA	0.664	-1.87	0.564	0.579	0.72	-5.63
YDR248C	S000002656	NA	0.167	1.98	0.564	0.579	0.72	-6.63
YDR283C	S000002691	GCN2	0.0684	5.62	0.564	0.578	0.72	-7.57
YGL166W	S000003134	CUP2	0.13	3.33	0.565	0.578	0.72	-7.01
YDR518W	S000002926	EUG1	-0.0549	6.65	-0.565	0.577	0.72	-7.59
YDR432W	S000002840	NPL3	0.0785	7.97	0.567	0.576	0.72	-7.7
YGR227W	S000003459	DIE2	-0.058	6.43	-0.567	0.576	0.72	-7.67
YPR173C	S000006377	VPS4	0.0712	5.8	0.568	0.576	0.72	-7.6
YHR018C	S000001060	ARG4	-0.106	6.25	-0.568	0.576	0.72	-7.48
YGR169C-A	S000028521	LSO2	-0.154	3.28	-0.569	0.575	0.72	-7.04
YJR055W	S000003816	HIT1	0.193	1.71	0.568	0.575	0.72	-6.52
YNL150W	S000005094	NA	-0.631	-0.741	-0.568	0.575	0.72	-5.88
YPR106W	S000006310	ISR1	-0.0847	4.11	-0.568	0.575	0.72	-7.27
YGL063W	S000003031	PUS2	0.143	3.03	0.569	0.575	0.72	-6.96
YPR150W	S000006354	NA	0.416	-1.09	0.569	0.575	0.72	-5.74
YJL003W	S000003540	COX16	-0.131	2.68	-0.57	0.575	0.72	-6.79
YLR425W	S000004417	TUS1	-0.0949	4.37	-0.57	0.574	0.72	-7.32
YDL141W	S000002300	BPL1	0.0671	5.91	0.571	0.573	0.72	-7.61
YFL023W	S000001871	BUD27	-0.174	3.16	-0.571	0.573	0.72	-6.73
YPR103W	S000006307	PRE2	0.0533	7.42	0.571	0.574	0.72	-7.7
YFL027C	S000001867	GYP8	0.106	3.57	0.572	0.573	0.72	-7.1
YGL013C	S000002981	PDR1	0.0718	5.92	0.572	0.573	0.72	-7.61
YDL070W	S000002228	BDF2	0.101	5.88	0.573	0.572	0.72	-7.61
YDR175C	S000002582	RSM24	0.0595	5.37	0.575	0.571	0.72	-7.53
YOR113W	S000005639	AZF1	0.131	3.93	0.576	0.571	0.72	-7.18
YMR064W	S000004668	AEP1	0.076	5.17	0.577	0.57	0.71	-7.49
YKR045C	S000001753	NA	-0.16	2.2	-0.576	0.57	0.71	-6.7
YJR106W	S000003867	ECM27	-0.0871	4.54	-0.577	0.57	0.71	-7.34
YIL048W	S000001310	NEO1	-0.0536	7.16	-0.578	0.569	0.71	-7.69
YLR389C	S000004381	STE23	-0.0516	7.85	-0.578	0.569	0.71	-7.69
YNR065C	S000005348	NA	-0.0794	5.13	-0.578	0.569	0.71	-7.48
YBR289W	S000000493	SNF5	0.0912	4.72	0.579	0.568	0.71	-7.4
YHR175W-A	S000028553	NA	-0.288	1.49	-0.579	0.568	0.71	-6.45
YGL011C	S000002979	SCL1	0.0502	7.05	0.58	0.568	0.71	-7.68
YKL069W	S000001552	NA	0.0965	4.15	0.58	0.568	0.71	-7.27
YER087C-B	S000002128	SBH1	-0.066	6.65	-0.581	0.567	0.71	-7.67
YBL074C	S000000170	AAR2	-0.121	2.74	-0.582	0.567	0.71	-6.86
YPL085W	S000006006	SEC16	0.0695	7.13	0.582	0.567	0.71	-7.7
YHR193C	S000001236	EGD2	-0.0642	8.97	-0.582	0.567	0.71	-7.67
YKL033W-A	S000007242	NA	-0.0547	7.13	-0.581	0.567	0.71	-7.7
YMR098C	S000004704	ATP25	-0.102	5.28	-0.581	0.567	0.71	-7.51
YAL011W	S000000009	SWC3	0.124	3.39	0.581	0.567	0.71	-7.04
YAL026C-A	S000028730	NA	-0.153	2.59	-0.583	0.566	0.71	-6.82
YLL022C	S000003945	HIF1	0.103	3.79	0.583	0.565	0.71	-7.11
YMR048W	S000004651	CSM3	0.128	2.84	0.584	0.565	0.71	-6.9
YGR235C	S000003467	MIC26	-0.0924	4.49	-0.585	0.564	0.71	-7.33
YCR075C	S000000671	ERS1	-0.134	4.19	-0.586	0.564	0.71	-7.22
YJL044C	S000003580	GYP6	0.0641	5.78	0.589	0.562	0.71	-7.58
YLR261C	S000004251	VPS63	0.454	-0.243	0.588	0.562	0.71	-5.98
YNL148C	S000005092	ALF1	0.127	2.71	0.589	0.561	0.71	-6.85
YGL250W	S000003219	RMR1	-0.135	3.3	-0.59	0.561	0.71	-6.91
YLR127C	S000004117	APC2	0.0783	4.54	0.591	0.56	0.71	-7.35
YHR164C	S000001207	DNA2	-0.0879	4.41	-0.591	0.56	0.71	-7.32
YIL161W	S000001423	NA	-0.194	2.98	-0.591	0.56	0.71	-6.94
YOR296W	S000005822	NA	-0.076	4.93	-0.593	0.559	0.71	-7.43
YOR189W	S000005715	IES4	0.144	2.88	0.593	0.559	0.71	-6.9
YJR005W	S000003765	APL1	0.0616	6.2	0.593	0.559	0.71	-7.62
YOL012C	S000005372	HTZ1	-0.0781	5.59	-0.593	0.559	0.71	-7.55
YER124C	S000000926	DSE1	0.0833	6.07	0.593	0.559	0.71	-7.61
YDL109C	S000002267	NA	0.132	3.02	0.594	0.558	0.71	-6.94
YDR349C	S000002757	YPS7	0.0595	7.26	0.595	0.558	0.7	-7.69
YDR142C	S000002549	PEX7	-0.0832	4.23	-0.595	0.558	0.7	-7.28
YLR309C	S000004300	IMH1	0.111	5.02	0.595	0.557	0.7	-7.45
YPL168W	S000006089	MRX4	-0.106	3.35	-0.596	0.557	0.7	-7.02
YNL101W	S000005045	AVT4	-0.0639	6.83	-0.596	0.557	0.7	-7.67
YBL105C	S000000201	PKC1	0.0597	6.54	0.596	0.557	0.7	-7.66
YGL151W	S000003119	NUT1	0.082	6.43	0.596	0.557	0.7	-7.64
YML011C	S000004472	RAD33	0.162	2.51	0.597	0.556	0.7	-6.78
YDR527W	S000002935	RBA50	0.102	4.87	0.597	0.556	0.7	-7.38
YER183C	S000000985	FAU1	-0.108	4.2	-0.597	0.556	0.7	-7.27
YGL054C	S000003022	ERV14	-0.0792	6.52	-0.598	0.556	0.7	-7.66
YDR054C	S000002461	CDC34	-0.0843	6	-0.598	0.556	0.7	-7.6
YOL100W	S000005460	PKH2	0.0732	5.28	0.599	0.555	0.7	-7.47
YPL046C	S000005967	ELC1	-0.163	1.71	-0.6	0.555	0.7	-6.53
YJR043C	S000003804	POL32	0.11	3.72	0.6	0.554	0.7	-7.13
YGR087C	S000003319	PDC6	0.515	0.271	0.601	0.554	0.7	-5.78
YHR214W	S000001257	NA	0.206	3.5	0.601	0.554	0.7	-6.99
YLR102C	S000004092	APC9	-0.135	3.21	-0.602	0.553	0.7	-6.96
YBR299W	S000000503	MAL32	-0.535	0.543	-0.602	0.553	0.7	-6.06
YER129W	S000000931	SAK1	-0.0626	6.27	-0.602	0.553	0.7	-7.63
YHR178W	S000001221	STB5	-0.084	4.41	-0.602	0.553	0.7	-7.31
YGR103W	S000003335	NOP7	-0.111	5.74	-0.602	0.553	0.7	-7.18
YIL014W	S000001276	MNT3	0.0646	5.97	0.602	0.553	0.7	-7.58
YPL221W	S000006142	FLC1	0.0782	6.52	0.603	0.553	0.7	-7.65
YIL040W	S000001302	APQ12	-0.0845	4.82	-0.603	0.552	0.7	-7.41
YLR018C	S000004008	POM34	0.0698	5.59	0.605	0.551	0.7	-7.54
YDL142C	S000002301	CRD1	-0.0968	4.17	-0.606	0.551	0.7	-7.2
YPL204W	S000006125	HRR25	0.0738	6.5	0.606	0.55	0.7	-7.65
YHR071W	S000001113	PCL5	0.0708	6.07	0.606	0.55	0.7	-7.55
YFL037W	S000001857	TUB2	0.0722	9.13	0.607	0.55	0.7	-7.65
YKL011C	S000001494	CCE1	-0.132	2.57	-0.608	0.549	0.7	-6.8
YML009C	S000004468	MRPL39	-0.116	3.63	-0.608	0.549	0.7	-7.12
YAL051W	S000000048	OAF1	-0.0729	5.45	-0.609	0.549	0.7	-7.51
YDR094W	S000002501	NA	0.201	2.21	0.609	0.548	0.7	-6.68
YPL150W	S000006071	NA	-0.0841	4.99	-0.611	0.547	0.7	-7.43
YGL088W	S000003056	NA	0.206	2.48	0.611	0.548	0.7	-6.68
YGL213C	S000003181	SKI8	0.0619	6.46	0.61	0.548	0.7	-7.64
YLL015W	S000003938	BPT1	-0.055	7.22	-0.611	0.547	0.7	-7.68
YPR116W	S000006320	RRG8	-0.253	0.897	-0.612	0.547	0.7	-6.26
YJR005C-A	S000028523	LSO1	-0.557	-2.49	-0.612	0.546	0.7	-5.57
YGL203C	S000003171	KEX1	0.0845	5.93	0.613	0.546	0.7	-7.58
YDR158W	S000002565	HOM2	-0.0731	9.04	-0.614	0.545	0.7	-7.65
YCR045W-A	S000028607	NA	-0.263	1.18	-0.614	0.545	0.7	-6.34
YDR524W-C	S000028740	NA	0.55	-0.797	0.614	0.545	0.7	-5.79
YPL208W	S000006129	RKM1	-0.0644	5.85	-0.615	0.545	0.7	-7.57
YNL335W	S000005279	DDI3	0.508	-0.187	0.616	0.544	0.69	-5.96
YDR385W	S000002793	EFT2	-0.102	10.9	-0.616	0.544	0.69	-7.56
YPL084W	S000006005	BRO1	-0.069	6.17	-0.616	0.544	0.69	-7.61
YPR190C	S000006394	RPC82	0.0917	5.59	0.616	0.544	0.69	-7.47
YER143W	S000000945	DDI1	-0.078	5.37	-0.617	0.543	0.69	-7.44
YGL016W	S000002984	KAP122	-0.0714	6.94	-0.618	0.543	0.69	-7.67
YJL071W	S000003607	ARG2	-0.0935	4.43	-0.619	0.542	0.69	-7.29
YOL090W	S000005450	MSH2	0.0705	5.92	0.618	0.542	0.69	-7.58
YER019W	S000000821	ISC1	-0.116	5.52	-0.618	0.542	0.69	-7.53
YCL002C	S000000508	NA	-0.101	5.26	-0.621	0.541	0.69	-7.48
YEL053W-A	S000028744	NA	-0.396	0.368	-0.621	0.541	0.69	-6.07
YKR097W	S000001805	PCK1	0.434	-0.803	0.622	0.54	0.69	-5.82
YOR111W	S000005637	NA	-0.136	3.1	-0.622	0.54	0.69	-6.93
YKL153W	S000001636	NA	-0.361	2.33	-0.624	0.539	0.69	-6.64
YMR194C-B	S000028514	CMC4	-0.575	-1.17	-0.624	0.539	0.69	-5.72
YOR204W	S000005730	DED1	-0.0814	8.83	-0.625	0.538	0.69	-7.65
YEL068C	S000000794	NA	-0.128	2.82	-0.625	0.538	0.69	-6.86
YAR050W	S000000084	FLO1	0.0922	4.65	0.624	0.539	0.69	-7.35
YMR227C	S000004840	TAF7	0.139	3.54	0.624	0.539	0.69	-7.08
YNL130C	S000005074	CPT1	0.0651	7.94	0.626	0.538	0.69	-7.66
YNL080C	S000005024	EOS1	-0.0733	6.44	-0.627	0.537	0.69	-7.63
YKR023W	S000001731	NA	0.144	3.55	0.627	0.537	0.69	-7.07
YGL163C	S000003131	RAD54	-0.0841	4.79	-0.627	0.537	0.69	-7.37
YER018C	S000000820	SPC25	0.176	2.31	0.627	0.537	0.69	-6.69
Q0085	S000007268	ATP6	0.993	-1.11	0.628	0.536	0.69	-5.75
YKL116C	S000001599	PRR1	0.0779	5.43	0.628	0.536	0.69	-7.51
YJL081C	S000003617	ARP4	0.0736	5.83	0.628	0.536	0.69	-7.57
YER052C	S000000854	HOM3	-0.0801	8.93	-0.628	0.536	0.69	-7.64
YKL188C	S000001671	PXA2	0.167	2.81	0.629	0.536	0.69	-6.82
YDR240C	S000002648	SNU56	0.0874	3.96	0.629	0.536	0.69	-7.19
YKL018C-A	S000007615	NA	0.126	3.31	0.629	0.535	0.69	-7.01
YAL043C	S000000041	PTA1	0.0713	6.51	0.63	0.535	0.69	-7.63
YOR266W	S000005792	PNT1	0.112	3.68	0.631	0.534	0.69	-7.11
YER009W	S000000811	NTF2	-0.0761	8.27	-0.631	0.534	0.69	-7.66
YHR115C	S000001157	DMA1	0.0779	5.78	0.633	0.533	0.69	-7.56
YGR082W	S000003314	TOM20	0.0724	7.03	0.633	0.533	0.69	-7.66
YGR056W	S000003288	RSC1	0.0764	5.63	0.634	0.532	0.69	-7.53
YOR167C	S000005693	RPS28A	0.0995	8.39	0.634	0.532	0.69	-7.65
YBR216C	S000000420	YBP1	0.0717	5.72	0.635	0.532	0.68	-7.54
YBR226C	S000000430	NA	0.486	-0.826	0.635	0.532	0.68	-5.82
YNL312W	S000005256	RFA2	0.0945	5.26	0.635	0.532	0.68	-7.48
YOR192C	S000005718	THI72	-0.235	1.9	-0.637	0.531	0.68	-6.54
YJR152W	S000003913	DAL5	0.183	2.8	0.637	0.53	0.68	-6.83
YKL215C	S000001698	OXP1	-0.0845	5.89	-0.638	0.53	0.68	-7.53
YBR297W	S000000501	MAL33	-0.238	1.9	-0.639	0.53	0.68	-6.37
YDL160C-A	S000028520	MHF2	0.303	0.591	0.638	0.53	0.68	-6.15
YMR075W	S000004680	RCO1	-0.114	4.51	-0.639	0.529	0.68	-7.32
YPL070W	S000005991	MUK1	0.103	4.54	0.639	0.529	0.68	-7.31
YBR218C	S000000422	PYC2	-0.0823	8.19	-0.64	0.528	0.68	-7.66
YGR050C	S000003282	NA	0.267	1.08	0.641	0.528	0.68	-6.29
YFL034W	S000001860	MIL1	0.0757	5.07	0.641	0.528	0.68	-7.43
YOR246C	S000005772	ENV9	0.0897	5.7	0.641	0.528	0.68	-7.51
YLR364W	S000004356	GRX8	0.232	1.27	0.641	0.528	0.68	-6.34
YLR069C	S000004059	MEF1	0.0784	6.61	0.642	0.527	0.68	-7.63
YDR403W	S000002811	DIT1	-0.471	-0.235	-0.643	0.526	0.68	-5.83
YDR116C	S000002523	MRPL1	0.0785	5.59	0.644	0.526	0.68	-7.52
YLR351C	S000004343	NIT3	0.0637	6.31	0.644	0.526	0.68	-7.6
YJR137C	S000003898	MET5	-0.0809	6.39	-0.644	0.526	0.68	-7.61
YML057W	S000004521	CMP2	-0.0636	6.75	-0.645	0.526	0.68	-7.62
YPR009W	S000006213	SUT2	-0.112	3.84	-0.645	0.526	0.68	-7.14
YDR236C	S000002644	FMN1	0.101	5.08	0.645	0.526	0.68	-7.43
YJR052W	S000003813	RAD7	0.127	4.11	0.644	0.526	0.68	-7.19
YER071C	S000000873	TDA2	0.113	3.19	0.646	0.525	0.68	-6.97
YMR069W	S000004673	NAT4	0.433	-0.284	0.645	0.525	0.68	-5.88
YLR014C	S000004004	PPR1	0.0933	4.16	0.645	0.525	0.68	-7.2
YGR271W	S000003503	SLH1	0.0723	5.93	0.647	0.524	0.68	-7.56
YMR268C	S000004881	PRP24	0.137	3.2	0.648	0.523	0.68	-6.96
YGR006W	S000003238	PRP18	0.186	2.43	0.648	0.523	0.68	-6.71
YFL044C	S000001850	OTU1	0.0925	4.58	0.648	0.524	0.68	-7.3
YBR123C	S000000327	TFC1	0.0989	4.54	0.648	0.524	0.68	-7.32
YOR012W	S000005538	NA	-0.271	0.698	-0.648	0.524	0.68	-6.18
YKR091W	S000001799	SRL3	-0.225	1.85	-0.649	0.523	0.68	-6.44
YNR051C	S000005334	BRE5	-0.0852	7.42	-0.649	0.523	0.68	-7.65
YKL160W	S000001643	ELF1	0.0927	5.79	0.65	0.522	0.68	-7.55
YLR370C	S000004362	ARC18	-0.0659	5.84	-0.65	0.523	0.68	-7.54
YKL063C	S000001546	NA	0.0929	4.87	0.651	0.522	0.68	-7.39
YOR079C	S000005605	ATX2	0.0822	5.07	0.651	0.522	0.68	-7.43
YGR239C	S000003471	PEX21	0.275	1.24	0.653	0.52	0.68	-6.3
YLR182W	S000004172	SWI6	0.0827	5.43	0.653	0.521	0.68	-7.49
YDR364C	S000002772	CDC40	0.0975	4.53	0.653	0.52	0.68	-7.31
YBR122C	S000000326	MRPL36	-0.0712	5.54	-0.654	0.52	0.68	-7.51
YGR275W	S000003507	RTT102	0.124	3.78	0.655	0.519	0.68	-7.12
YGL040C	S000003008	HEM2	-0.0875	6.91	-0.654	0.519	0.68	-7.64
YJL095W	S000003631	BCK1	-0.0899	5.72	-0.654	0.519	0.68	-7.53
YBR031W	S000000235	RPL4A	-0.113	11.9	-0.654	0.52	0.68	-7.48
YGR292W	S000003524	MAL12	-1.01	-0.784	-0.655	0.519	0.68	-5.81
YFL038C	S000001856	YPT1	-0.0663	7.14	-0.656	0.518	0.68	-7.65
YLR393W	S000004385	ATP10	-0.145	3.49	-0.656	0.519	0.68	-7.02
YDR375C	S000002783	BCS1	0.0768	5.43	0.656	0.519	0.68	-7.49
YBR217W	S000000421	ATG12	0.171	2.07	0.657	0.518	0.67	-6.6
YAR014C	S000000069	BUD14	-0.0843	5.54	-0.658	0.517	0.67	-7.5
YPL148C	S000006069	PPT2	0.215	1.76	0.659	0.517	0.67	-6.5
YNL091W	S000005035	NST1	0.0858	6.27	0.659	0.516	0.67	-7.6
YJR062C	S000003823	NTA1	-0.0909	4.43	-0.659	0.517	0.67	-7.29
